OffspringID,MotherID,FatherID,FamilyID,,,,,,Family
G1T1701_149_001_A1_G,G1T1701_BR_139_MP,G1T1701_BR_042_P,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,G1T1701_BR_139_MP__G1T1701_BR_042_P
G1T1701_149_001_A10_G,G1T1701_BR_062_P,G1T1701_BR_023_P,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,,G1T1701_BR_048_P__G1T1701_BR_001_P
G1T1701_149_001_A11_G,G1T1701_BR_048_P,G1T1701_BR_002_P,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,,G1T1701_BR_048_P__G1T1701_BR_002_P
G1T1701_149_001_A12_G,G1T1701_BR_049_GP,G1T1701_BR_003_P,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,,G1T1701_BR_049_GP__G1T1701_BR_001_P
G1T1701_149_001_A2_G,G1T1701_BR_119_MP,G1T1701_BR_324_MP,G1T1701_BR_119_MP__G1T1701_BR_324_MP,,,,,,G1T1701_BR_049_GP__G1T1701_BR_003_P
G1T1701_149_001_A3_G,G1T1701_BR_053_GP,G1T1701_BR_006_P,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,,G1T1701_BR_050_GP__G1T1701_BR_002_P
G1T1701_149_001_A5_G,G1T1701_BR_062_P,G1T1701_BR_023_P,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,,G1T1701_BR_052_P__G1T1701_BR_004_P
G1T1701_149_001_A6_G,G1T1701_BR_048_P,G1T1701_BR_002_P,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,,G1T1701_BR_052_P__G1T1701_BR_007_P
G1T1701_149_001_A7_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_053_GP__G1T1701_BR_005_P
G1T1701_149_001_A8_G,G1T1701_BR_062_P,G1T1701_BR_023_P,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,,G1T1701_BR_053_GP__G1T1701_BR_006_P
G1T1701_149_001_A9_G,G1T1701_BR_062_P,G1T1701_BR_023_P,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,,G1T1701_BR_054_P__G1T1701_BR_017_P
G1T1701_149_001_B1_G,G1T1701_BR_050_GP,G1T1701_BR_002_P,G1T1701_BR_050_GP__G1T1701_BR_002_P,,,,,,G1T1701_BR_055_P__G1T1701_BR_010_P
G1T1701_149_001_B10_G,G1T1701_BR_360_MP,G1T1701_BR_318_MP,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,,G1T1701_BR_055_P__G1T1701_BR_013_P
G1T1701_149_001_B11_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_055_P__G1T1701_BR_444_MP
G1T1701_149_001_B12_G,G1T1701_BR_057_GP,G1T1701_BR_014_P,G1T1701_BR_057_GP__G1T1701_BR_014_P,,,,,,G1T1701_BR_057_GP__G1T1701_BR_012_P
G1T1701_149_001_B2_G,G1T1701_BR_053_GP,G1T1701_BR_006_P,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,,G1T1701_BR_057_GP__G1T1701_BR_014_P
G1T1701_149_001_B4_G,G1T1701_BR_054_P,G1T1701_BR_017_P,G1T1701_BR_054_P__G1T1701_BR_017_P,,,,,,G1T1701_BR_059_P__G1T1701_BR_017_P
G1T1701_149_001_B5_G,G1T1701_BR_050_GP,G1T1701_BR_002_P,G1T1701_BR_050_GP__G1T1701_BR_002_P,,,,,,G1T1701_BR_059_P__G1T1701_BR_018_P
G1T1701_149_001_B6_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_060_P__G1T1701_BR_022_P
G1T1701_149_001_B7_G,G1T1701_BR_067_GP,G1T1701_BR_038_P,G1T1701_BR_067_GP__G1T1701_BR_038_P,,,,,,G1T1701_BR_062_P__G1T1701_BR_023_P
G1T1701_149_001_C1_G,G1T1701_BR_053_GP,G1T1701_BR_005_P,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,,G1T1701_BR_062_P__G1T1701_BR_024_P
G1T1701_149_001_C10_G,G1T1701_BR_360_MP,G1T1701_BR_318_MP,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,,G1T1701_BR_062_P__G1T1701_BR_363_MP
G1T1701_149_001_C11_G,G1T1701_BR_048_P,G1T1701_BR_001_P,G1T1701_BR_048_P__G1T1701_BR_001_P,,,,,,G1T1701_BR_064_P__G1T1701_BR_031_P
G1T1701_149_001_C12_G,G1T1701_BR_049_GP,G1T1701_BR_001_P,G1T1701_BR_049_GP__G1T1701_BR_001_P,,,,,,G1T1701_BR_064_P__G1T1701_BR_033_P
G1T1701_149_001_C3_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_065_P__G1T1701_BR_035_P
G1T1701_149_001_C4_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_065_P__G1T1701_BR_036_P
G1T1701_149_001_C5_G,G1T1701_BR_067_GP,G1T1701_BR_038_P,G1T1701_BR_067_GP__G1T1701_BR_038_P,,,,,,G1T1701_BR_067_GP__G1T1701_BR_037_P
G1T1701_149_001_C6_G,G1T1701_BR_049_GP,G1T1701_BR_003_P,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,,G1T1701_BR_067_GP__G1T1701_BR_038_P
G1T1701_149_001_C7_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_070_P__G1T1701_BR_041_P
G1T1701_149_001_C8_G,G1T1701_BR_057_GP,G1T1701_BR_014_P,G1T1701_BR_057_GP__G1T1701_BR_014_P,,,,,,G1T1701_BR_095_MP__G1T1701_BR_272_MP
G1T1701_149_001_C9_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_095_MP__G1T1701_BR_283_MP
G1T1701_149_001_D1_G,G1T1701_BR_119_MP,G1T1701_BR_324_MP,G1T1701_BR_119_MP__G1T1701_BR_324_MP,,,,,,G1T1701_BR_095_MP__G1T1701_BR_445_MP
G1T1701_149_001_D10_G,G1T1701_BR_049_GP,G1T1701_BR_003_P,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,,G1T1701_BR_102_MP__G1T1701_BR_325_MP
G1T1701_149_001_D11_G,G1T1701_BR_067_GP,G1T1701_BR_037_P,G1T1701_BR_067_GP__G1T1701_BR_037_P,,,,,,G1T1701_BR_113_MP__G1T1701_BR_262_MP
G1T1701_149_001_D12_G,G1T1701_BR_062_P,G1T1701_BR_024_P,G1T1701_BR_062_P__G1T1701_BR_024_P,,,,,,G1T1701_BR_117_MP__G1T1701_BR_348_MP
G1T1701_149_001_D3_G,G1T1701_BR_050_GP,G1T1701_BR_002_P,G1T1701_BR_050_GP__G1T1701_BR_002_P,,,,,,G1T1701_BR_119_MP__G1T1701_BR_015_P
G1T1701_149_001_D5_G,G1T1701_BR_360_MP,G1T1701_BR_318_MP,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,,G1T1701_BR_119_MP__G1T1701_BR_324_MP
G1T1701_149_001_D7_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_123_MP__G1T1701_BR_251_MP
G1T1701_149_001_D9_G,G1T1701_BR_053_GP,G1T1701_BR_006_P,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,,G1T1701_BR_123_MP__G1T1701_BR_441_MP
G1T1701_149_001_E11_G,G1T1701_BR_171_M,G1T1701_BR_189_MP,G1T1701_BR_171_M__G1T1701_BR_189_MP,,,,,,G1T1701_BR_131_M__G1T1701_BR_262_MP
G1T1701_149_001_E12_G,G1T1701_BR_062_P,G1T1701_BR_023_P,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,,G1T1701_BR_134_MP__G1T1701_BR_444_MP
G1T1701_149_001_E2_G,G1T1701_BR_166_MP,G1T1701_BR_263_MP,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,,G1T1701_BR_135_MP__G1T1701_BR_359_MP
G1T1701_149_001_E3_G,G1T1701_BR_053_GP,G1T1701_BR_005_P,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,,G1T1701_BR_139_MP__G1T1701_BR_023_P
G1T1701_149_001_E6_G,G1T1701_BR_113_MP,G1T1701_BR_262_MP,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,,G1T1701_BR_163_MP__G1T1701_BR_278_MP
G1T1701_149_001_E7_G,G1T1701_BR_095_MP,G1T1701_BR_283_MP,G1T1701_BR_095_MP__G1T1701_BR_283_MP,,,,,,G1T1701_BR_166_MP__G1T1701_BR_263_MP
G1T1701_149_001_E8_G,G1T1701_BR_401_MP,G1T1701_BR_025_P,G1T1701_BR_401_MP__G1T1701_BR_025_P,,,,,,G1T1701_BR_168_MP__G1T1701_BR_031_P
G1T1701_149_001_F1_G,G1T1701_BR_053_GP,G1T1701_BR_006_P,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,,G1T1701_BR_171_M__G1T1701_BR_189_MP
G1T1701_149_001_F11_G,G1T1701_BR_166_MP,G1T1701_BR_263_MP,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,,G1T1701_BR_192_MP__G1T1701_BR_141_MP
G1T1701_149_001_F12_G,G1T1701_BR_119_MP,G1T1701_BR_015_P,G1T1701_BR_119_MP__G1T1701_BR_015_P,,,,,,G1T1701_BR_198_M__G1T1701_BR_044_P
G1T1701_149_001_F2_G,G1T1701_BR_048_P,G1T1701_BR_002_P,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,,G1T1701_BR_204_M__G1T1701_BR_279_MP
G1T1701_149_001_F3_G,G1T1701_BR_062_P,G1T1701_BR_023_P,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,,G1T1701_BR_204_M__G1T1701_BR_428_MP
G1T1701_149_001_F5_G,G1T1701_BR_139_MP,G1T1701_BR_042_P,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,G1T1701_BR_211_MP__G1T1701_BR_189_MP
G1T1701_149_001_F6_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_211_MP__G1T1701_BR_428_MP
G1T1701_149_001_F7_G,G1T1701_BR_139_MP,G1T1701_BR_042_P,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,G1T1701_BR_222_M__G1T1701_BR_363_MP
G1T1701_149_001_F8_G,G1T1701_BR_113_MP,G1T1701_BR_262_MP,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,,G1T1701_BR_360_MP__G1T1701_BR_318_MP
G1T1701_149_001_F9_G,G1T1701_BR_113_MP,G1T1701_BR_262_MP,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,,G1T1701_BR_362_MP__G1T1701_BR_284_MP
G1T1701_149_001_G1_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,G1T1701_BR_385_MP__G1T1701_BR_367_MP
G1T1701_149_001_G10_G,G1T1701_BR_048_P,G1T1701_BR_001_P,G1T1701_BR_048_P__G1T1701_BR_001_P,,,,,,G1T1701_BR_388_MP__G1T1701_BR_441_MP
G1T1701_149_001_G11_G,G1T1701_BR_067_GP,G1T1701_BR_037_P,G1T1701_BR_067_GP__G1T1701_BR_037_P,,,,,,G1T1701_BR_401_MP__G1T1701_BR_025_P
G1T1701_149_001_G2_G,G1T1701_BR_054_P,G1T1701_BR_017_P,G1T1701_BR_054_P__G1T1701_BR_017_P,,,,,,G1T1701_BR_401_MP__G1T1701_BR_450_MP
G1T1701_149_001_G4_G,G1T1701_BR_048_P,G1T1701_BR_002_P,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,,G1T1701_BR_402_MP__G1T1701_BR_325_MP
G1T1701_149_001_G7_G,G1T1701_BR_139_MP,G1T1701_BR_042_P,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,G1T1701_BR_461_P__G1T1701_BR_041_P
G1T1701_149_001_G9_G,G1T1701_BR_048_P,G1T1701_BR_001_P,G1T1701_BR_048_P__G1T1701_BR_001_P,,,,,,
G1T1701_149_001_H1_G,G1T1701_BR_139_MP,G1T1701_BR_042_P,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,
G1T1701_149_001_H10_G,G1T1701_BR_048_P,G1T1701_BR_002_P,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,,
G1T1701_149_001_H11_G,G1T1701_BR_166_MP,G1T1701_BR_263_MP,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,,
