Cohort,Code,Age,Class,PrawnID,GAV,FamID,IntFamID
201604,C8,broodstock,mother,201604BR456,0,B1_033,1
201604,C8,pond,Offspring,243_01_C7G,3.41,B1_033,1
201604,136,pond,Offspring,244_01_E9G,3.5,B1_033,1
201604,C8,pond,Offspring,243_01_F9G,3.53,B1_033,1
201604,C8,pond,Offspring,243_01_F10G,3.8,B1_033,1
201604,C8,pond,Offspring,243_01_B4G,3.81,B1_033,1
201604,135,pond,Offspring,243_01_G6G,4.05,B1_033,1
201604,135,pond,Offspring,243_01_B11G,4.39,B1_033,1
201604,136,pond,Offspring,243_01_E11G,4.53,B1_033,1
201604,C9,pond,Offspring,243_01_A11G,4.67,B1_033,1
201604,C8,broodstock,father,201604BR347,5.14,B1_033,1
201604,C8,larval,Offspring,RC8_497_PL,6.28,B1_033,1
201604,136,larval,Offspring,RC8_500_PL,6.74,B1_033,1
201604,C8,larval,Offspring,RC8_557_PL,6.75,B1_033,1
201604,C9,larval,Offspring,RC8_528_PL,6.91,B1_033,1
201604,C9,larval,Offspring,RC8_503_PL,6.91,B1_033,1
201604,243,larval,Offspring,RC9_104_PL,7.01,B1_033,1
201604,C9,larval,Offspring,RC9_271_PL,7.1,B1_033,1
201604,C8,larval,Offspring,RC9_223_PL,7.14,B1_033,1
201604,C9,larval,Offspring,RC9_191_PL,7.18,B1_033,1
201604,C9,larval,Offspring,RC9_204_PL,7.18,B1_033,1
201604,C9,larval,Offspring,RC9_266_PL,7.22,B1_033,1
201604,C9,larval,Offspring,RC9_255_PL,7.3,B1_033,1
201604,135,larval,Offspring,RC9_263_PL,7.32,B1_033,1
201604,C9,larval,Offspring,RC8_562_PL,7.32,B1_033,1
201604,C8,larval,Offspring,RC9_244_PL,7.4,B1_033,1
201604,C9,larval,Offspring,RC9_184_PL,7.44,B1_033,1
201604,C9,larval,Offspring,RC9_268_PL,7.44,B1_033,1
201604,C8,larval,Offspring,RC8_520_PL,7.51,B1_033,1
201604,C9,larval,Offspring,RC8_548_PL,7.52,B1_033,1
201604,C9,larval,Offspring,RC9_259_PL,7.57,B1_033,1
201604,C9,larval,Offspring,RC8_149_PL,7.59,B1_033,1
201604,C8,larval,Offspring,RC9_185_PL,7.63,B1_033,1
201604,C8,larval,Offspring,RC9_130_PL,7.68,B1_033,1
201604,C8,larval,Offspring,RC8_523_PL,7.76,B1_033,1
201604,C9,larval,Offspring,RC8_110_PL,7.76,B1_033,1
201604,C8,larval,Offspring,RC8_154_PL,7.76,B1_033,1
201604,C9,larval,Offspring,RC8_108_PL,7.79,B1_033,1
201604,C9,larval,Offspring,RC9_124_PL,7.81,B1_033,1
201604,C8,larval,Offspring,RC9_118_PL,7.87,B1_033,1
201604,C8,larval,Offspring,RC8_544_PL,7.91,B1_033,1
201604,C8,larval,Offspring,RC9_206_PL,7.95,B1_033,1
201604,C8,larval,Offspring,RC8_535_PL,8.19,B1_033,1
201604,C9,larval,Offspring,RC9_101_PL,9.05,B1_033,1
201604,C8,pond,Offspring,243_044P,NA,B1_033,1
201604,C8,pond,Offspring,243_045P,NA,B1_033,1
201604,C8,pond,Offspring,243_048P,NA,B1_033,1
201604,C8,pond,Offspring,243_056P,NA,B1_033,1
201604,C8,pond,Offspring,243_059P,NA,B1_033,1
201604,C9,pond,Offspring,243_070P,NA,B1_033,1
201604,C8,pond,Offspring,243_01_A5G,0,B1_033,1
201604,C9,pond,Offspring,243_01_C8G,0,B1_033,1
201604,C8,pond,Offspring,243_01_F7G,0,B1_033,1
201604,C9,pond,Offspring,244_01_D12G,0,B1_033,1
201604,C8,pond,Offspring,244_01_G8G,0,B1_033,1
201604,244,broodstock,mother,201604BR060,0,B1_012,2
