Cohort,Code,Age,Class,PrawnID,GAV,FamID,
201604,parent,broodstock,mother,201604BR014,3.49,B1_003,
201604,parent,broodstock,father,201604BR160,3.52,B1_003,
201604,parent,pond,Offspring,243_01_C12G,4.56,B1_003,
201604,parent,pond,Offspring,244_01_D7G,5.66,B1_003,
201604,parent,larval,Offspring,RC8_563_PL,6.38,B1_003,
201602,parent,larval,Offspring,RC8_512_PL,6.90,B1_003,
201604,parent,larval,Offspring,RC8_178_PL,7.26,B1_003,
201602,parent,larval,Offspring,RC8_542_PL,7.83,B1_003,
201602,parent,broodstock,mother,201604BR020,3.51,B1_004,
201602,parent,pond,Offspring,244_01_E7G,3.71,B1_004,
201602,parent,pond,Offspring,244_01_G7G,3.72,B1_004,
201604,parent,broodstock,father,201604BR199,3.82,B1_004,
201602,parent,pond,Offspring,244_01_B9G,3.93,B1_004,
201602,parent,larval,Offspring,RC8_531_PL,4.01,B1_004,
201602,parent,larval,Offspring,RC8_131_PL,4.20,B1_004,
201602,parent,larval,Offspring,RC8_534_PL,4.75,B1_004,
201602,parent,larval,Offspring,RC8_114_PL,5.26,B1_004,
201602,parent,larval,Offspring,RC8_521_PL,6.45,B1_004,
201602,parent,larval,Offspring,RC9_262_PL,6.61,B1_004,
201604,parent,larval,Offspring,RC9_144_PL,6.72,B1_004,
201602,parent,larval,Offspring,RC8_477_PL,6.94,B1_004,
201602,parent,larval,Offspring,RC8_099_PL,7.15,B1_004,
201602,parent,larval,Offspring,RC9_232_PL,7.38,B1_004,
201604,parent,larval,Offspring,RC9_258_PL,7.43,B1_004,
201602,parent,pond,Offspring,243_004P,NA,B1_004,
201602,parent,pond,Offspring,243_023P,NA,B1_004,
201602,parent,pond,Offspring,243_024P,NA,B1_004,
201602,parent,pond,Offspring,243_033P,NA,B1_004,
201604,135,pond,Offspring,243_077P,NA,B1_004,
201604,135,pond,Offspring,243_01_D5G,0.00,B1_004,
201604,135,pond,Offspring,243_01_D7G,0.00,B1_004,
201602,parent,pond,Offspring,244_01_E10G,0.00,B1_004,
201602,parent,broodstock,mother,201604BR020,3.51,B1_005,
201604,135,larval,Offspring,RC9_272_PL,4.10,B1_005,
201604,135,larval,Offspring,RC9_194_PL,5.15,B1_005,
201604,135,larval,Offspring,RC9_207_PL,6.70,B1_005,
201604,135,larval,Offspring,RC9_189_PL,7.10,B1_005,
201602,parent,larval,Offspring,RC9_245_PL,7.14,B1_005,
201604,135,larval,Offspring,RC9_273_PL,7.21,B1_005,
201602,141,larval,Offspring,RC9_281_PL,7.52,B1_005,
201604,136,larval,Offspring,RC9_195_PL,7.59,B1_005,
201604,parent,broodstock,father,201604BR271,NA,B1_005,
201604,parent,broodstock,mother,201604BR021,3.01,B1_006,
201604,135,pond,Offspring,244_01_B8G,3.67,B1_006,
201604,parent,broodstock,father,201604BR158,4.56,B1_006,
201604,parent,larval,Offspring,RC9_153_PL,6.26,B1_006,
201604,parent,larval,Offspring,RC9_282_PL,6.68,B1_006,
201604,135,larval,Offspring,RC9_278_PL,6.82,B1_006,
201604,136,larval,Offspring,RC8_517_PL,6.96,B1_006,
201604,135,larval,Offspring,RC9_227_PL,7.18,B1_006,
201602,141,larval,Offspring,RC9_269_PL,7.22,B1_006,
201604,parent,larval,Offspring,RC9_179_PL,7.24,B1_006,
201602,141,larval,Offspring,RC9_222_PL,7.26,B1_006,
201602,141,pond,Offspring,243_029P,NA,B1_006,
201604,136,pond,Offspring,243_046P,NA,B1_006,
201602,141,pond,Offspring,243_065P,NA,B1_006,
201602,141,pond,Offspring,243_076P,NA,B1_006,
201604,136,pond,Offspring,243_078P,NA,B1_006,
201602,141,pond,Offspring,243_01_C5G,3.20,B1_008,
201602,141,pond,Offspring,244_01_G11G,3.31,B1_008,
201604,135,pond,Offspring,244_01_B11G,3.32,B1_008,
201602,141,pond,Offspring,243_01_B9G,3.50,B1_008,
201602,141,broodstock,father,201604BR199,3.82,B1_008,
201602,141,pond,Offspring,243_01_D3G,3.84,B1_008,
201604,parent,broodstock,mother,201604BR047,3.95,B1_008,
201604,parent,pond,Offspring,243_01_H7G,4.80,B1_008,
201602,141,larval,Offspring,RC8_121_PL,7.21,B1_008,
201602,141,pond,Offspring,244_01_H7G,7.90,B1_008,
201604,136,larval,Offspring,RC9_112_PL,8.15,B1_008,
201604,parent,larval,Offspring,RC8_525_PL,9.06,B1_008,
201602,141,pond,Offspring,243_061P,NA,B1_008,
201602,141,pond,Offspring,243_01_A9G,0.00,B1_008,
201602,141,pond,Offspring,244_01_A10G,0.00,B1_008,
201604,136,broodstock,mother,201604BR054,3.26,B1_010,
201604,parent,broodstock,father,201604BR160,3.52,B1_010,
201604,136,larval,Offspring,RC8_530_PL,3.90,B1_010,
201604,136,larval,Offspring,RC8_533_PL,5.78,B1_010,
201604,243,larval,Offspring,RC8_123_PL,6.81,B1_010,
201604,135,larval,Offspring,RC8_135_PL,7.34,B1_010,
201604,136,pond,Offspring,243_012P,NA,B1_010,
201604,136,pond,Offspring,243_030P,NA,B1_010,
201604,parent,broodstock,father,201604BR192,3.18,B1_011,
201604,135,broodstock,mother,201604BR059,3.51,B1_011,
201604,135,pond,Offspring,243_01_E8G,3.85,B1_011,
201604,244,pond,Offspring,244_01_H11G,3.92,B1_011,
201602,parent,pond,Offspring,244_01_H8G,5.00,B1_011,
201604,244,pond,Offspring,243_01_H3G,6.52,B1_011,
201604,parent,larval,Offspring,RC9_210_PL,6.63,B1_011,
201604,244,larval,Offspring,RC8_551_PL,6.84,B1_011,
201604,parent,larval,Offspring,RC8_133_PL,7.26,B1_011,
