Cohort,PrawnID,GAV,Age,Class,FamID,IntFamID
201604,201604BR020,3.51,broodstock,mother,B1_004,6
201604,201604BR021,3.01,broodstock,mother,B1_006,9
201604,201604BR059,3.51,broodstock,mother,B1_011,4
201604,201604BR060,0,broodstock,mother,B1_012,2
201604,201604BR084,3.05,broodstock,mother,B1_019,8
201604,201604BR103,3.41,broodstock,mother,B1_021,7
201604,201604BR145,3.08,broodstock,father,B1_019,8
201604,201604BR158,4.56,broodstock,father,B1_012,2
201604,201604BR158,4.56,broodstock,father,B1_006,9
201604,201604BR192,3.18,broodstock,father,B1_011,4
201604,201604BR199,3.82,broodstock,father,B1_004,6
201604,201604BR239,0,broodstock,father,B1_021,7
201604,201604BR289,5.5,broodstock,father,B1_026,3
201604,201604BR289,5.5,broodstock,father,B1_030,5
201604,201604BR347,5.14,broodstock,father,B1_033,1
201604,201604BR347,5.14,broodstock,father,B1_036,11
201604,201604BR412,3.75,broodstock,mother,B1_026,3
201604,201604BR431,0,broodstock,mother,B1_030,5
201604,201604BR456,0,broodstock,mother,B1_033,1
201604,201604BR479,3.47,broodstock,mother,B1_036,11
201604,243_01_A11G,4.67,pond,offspring,B1_033,1
201604,243_01_A5G,0,pond,offspring,B1_033,1
201604,243_01_A6G,6.02,pond,offspring,B1_026,3
201604,243_01_B10G,4,pond,offspring,B1_036,11
201604,243_01_B11G,4.39,pond,offspring,B1_033,1
201604,243_01_B12G,6.09,pond,offspring,B1_036,11
201604,243_01_B4G,3.81,pond,offspring,B1_033,1
201604,243_01_B5G,4.91,pond,offspring,B1_026,3
201604,243_01_C4G,4.23,pond,offspring,B1_026,3
201604,243_01_C6G,3.92,pond,offspring,B1_021,7
201604,243_01_C7G,3.41,pond,offspring,B1_033,1
201604,243_01_C8G,0,pond,offspring,B1_033,1
201604,243_01_C9G,3.77,pond,offspring,B1_019,8
201604,243_01_D5G,0,pond,offspring,B1_004,6
201604,243_01_D7G,0,pond,offspring,B1_004,6
201604,243_01_D9G,4.7,pond,offspring,B1_019,8
201604,243_01_E11G,4.53,pond,offspring,B1_033,1
201604,243_01_E12G,4.06,pond,offspring,B1_026,3
201604,243_01_E8G,3.85,pond,offspring,B1_011,4
201604,243_01_F10G,3.8,pond,offspring,B1_033,1
201604,243_01_F7G,0,pond,offspring,B1_033,1
201604,243_01_F9G,3.53,pond,offspring,B1_033,1
201604,243_01_G11G,4.21,pond,offspring,B1_021,7
201604,243_01_G5G,5.8,pond,offspring,B1_026,3
201604,243_01_G6G,4.05,pond,offspring,B1_033,1
201604,243_01_G8G,4.31,pond,offspring,B1_026,3
201604,243_01_G9G,7.21,pond,offspring,B1_036,11
201604,243_01_H3G,6.52,pond,offspring,B1_011,4
201604,243_01_H5G,4.21,pond,offspring,B1_019,8
201604,244_01_A12G,4.77,pond,offspring,B1_019,8
201604,244_01_B8G,3.67,pond,offspring,B1_006,9
201604,244_01_B9G,3.93,pond,offspring,B1_004,6
201604,244_01_D11G,4.05,pond,offspring,B1_026,3
201604,244_01_D12G,0,pond,offspring,B1_033,1
201604,244_01_E10G,0,pond,offspring,B1_004,6
201604,244_01_E7G,3.71,pond,offspring,B1_004,6
201604,244_01_E9G,3.5,pond,offspring,B1_033,1
201604,244_01_G7G,3.72,pond,offspring,B1_004,6
201604,244_01_G8G,0,pond,offspring,B1_033,1
201604,244_01_H11G,3.92,pond,offspring,B1_011,4
201604,244_01_H8G,5,pond,offspring,B1_011,4
201604,RC8_099_PL,7.15,larval,offspring,B1_004,6
201604,RC8_104_PL,7.92,larval,offspring,B1_012,2
201604,RC8_106_PL,6.03,larval,offspring,B1_019,8
201604,RC8_108_PL,7.79,larval,offspring,B1_033,1
201604,RC8_109_PL,7.47,larval,offspring,B1_011,4
201604,RC8_110_PL,7.76,larval,offspring,B1_033,1
201604,RC8_114_PL,5.26,larval,offspring,B1_004,6
201604,RC8_119_PL,6.7,larval,offspring,B1_012,2
201604,RC8_120_PL,7.19,larval,offspring,B1_019,8
201604,RC8_126_PL,8.19,larval,offspring,B1_026,3
201604,RC8_130_PL,6.88,larval,offspring,B1_021,7
201604,RC8_131_PL,4.2,larval,offspring,B1_004,6
201604,RC8_133_PL,7.26,larval,offspring,B1_011,4
201604,RC8_136_PL,7.59,larval,offspring,B1_026,3
201604,RC8_137_PL,7.42,larval,offspring,B1_026,3
201604,RC8_142_PL,6.91,larval,offspring,B1_012,2
201604,RC8_143_PL,7.73,larval,offspring,B1_036,11
201604,RC8_145_PL,7.43,larval,offspring,B1_019,8
201604,RC8_149_PL,7.59,larval,offspring,B1_033,1
201604,RC8_154_PL,7.76,larval,offspring,B1_033,1
201604,RC8_159_PL,7.25,larval,offspring,B1_012,2
201604,RC8_164_PL,7.5,larval,offspring,B1_011,4
201604,RC8_174_PL,7.81,larval,offspring,B1_011,4
201604,RC8_177_PL,7.59,larval,offspring,B1_019,8
201604,RC8_182_PL,6.3,larval,offspring,B1_026,3
201604,RC8_187_PL,7.13,larval,offspring,B1_019,8
201604,RC8_472_PL,6.85,larval,offspring,B1_026,3
201604,RC8_476_PL,7.21,larval,offspring,B1_019,8
201604,RC8_477_PL,6.94,larval,offspring,B1_004,6
