PrawnID,GAV,Class,Family ID,,,Family,,Offspring count
G1T1701_BR_017_P,0.00,Father,G1T1701_BR_054_P__G1T1701_BR_017_P,,,G1T1701_BR_139_MP__G1T1701_BR_042_P,,183
G1T1701_BR_005_P,0.00,Father,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,G1T1701_BR_048_P__G1T1701_BR_001_P,,216
G1T1701_BR_041_P,0.00,Father,G1T1701_BR_461_P__G1T1701_BR_041_P,,,G1T1701_BR_048_P__G1T1701_BR_002_P,,121
G1T1701_BR_041_P,0.00,Father,G1T1701_BR_070_P__G1T1701_BR_041_P,,,G1T1701_BR_049_GP__G1T1701_BR_001_P,,25
G1T1701_BR_017_P,0.00,Father,G1T1701_BR_059_P__G1T1701_BR_017_P,,,G1T1701_BR_049_GP__G1T1701_BR_003_P,,176
G1T1701_BR_037_P,3.30,Father,G1T1701_BR_067_GP__G1T1701_BR_037_P,,,G1T1701_BR_050_GP__G1T1701_BR_002_P,,81
G1T1701_BR_002_P,3.35,Father,G1T1701_BR_048_P__G1T1701_BR_002_P,,,G1T1701_BR_052_P__G1T1701_BR_004_P,,2
G1T1701_BR_002_P,3.35,Father,G1T1701_BR_050_GP__G1T1701_BR_002_P,,,G1T1701_BR_052_P__G1T1701_BR_007_P,,7
G1T1701_BR_003_P,3.37,Father,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,G1T1701_BR_053_GP__G1T1701_BR_005_P,,87
G1T1701_BR_006_P,3.47,Father,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,G1T1701_BR_053_GP__G1T1701_BR_006_P,,211
G1T1701_BR_023_P,3.48,Father,G1T1701_BR_062_P__G1T1701_BR_023_P,,,G1T1701_BR_054_P__G1T1701_BR_017_P,,45
G1T1701_BR_023_P,3.48,Father,G1T1701_BR_139_MP__G1T1701_BR_023_P,,,G1T1701_BR_055_P__G1T1701_BR_010_P,,2
G1T1701_BR_014_P,3.59,Father,G1T1701_BR_057_GP__G1T1701_BR_014_P,,,G1T1701_BR_055_P__G1T1701_BR_013_P,,2
G1T1701_BR_001_P,3.65,Father,G1T1701_BR_048_P__G1T1701_BR_001_P,,,G1T1701_BR_055_P__G1T1701_BR_444_MP,,40
G1T1701_BR_001_P,3.65,Father,G1T1701_BR_049_GP__G1T1701_BR_001_P,,,G1T1701_BR_057_GP__G1T1701_BR_012_P,,29
G1T1701_BR_033_P,3.75,Father,G1T1701_BR_064_P__G1T1701_BR_033_P,,,G1T1701_BR_057_GP__G1T1701_BR_014_P,,38
G1T1701_BR_012_P,3.79,Father,G1T1701_BR_057_GP__G1T1701_BR_012_P,,,G1T1701_BR_059_P__G1T1701_BR_017_P,,1
G1T1701_BR_031_P,3.82,Father,G1T1701_BR_064_P__G1T1701_BR_031_P,,,G1T1701_BR_059_P__G1T1701_BR_018_P,,3
G1T1701_BR_031_P,3.82,Father,G1T1701_BR_168_MP__G1T1701_BR_031_P,,,G1T1701_BR_060_P__G1T1701_BR_022_P,,27
G1T1701_BR_024_P,3.98,Father,G1T1701_BR_062_P__G1T1701_BR_024_P,,,G1T1701_BR_062_P__G1T1701_BR_023_P,,344
G1T1701_BR_042_P,4.07,Father,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,G1T1701_BR_062_P__G1T1701_BR_024_P,,121
G1T1701_BR_015_P,4.95,Father,G1T1701_BR_119_MP__G1T1701_BR_015_P,,,G1T1701_BR_062_P__G1T1701_BR_363_MP,,1
G1T1701_BR_318_MP,5.23,Father,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,G1T1701_BR_064_P__G1T1701_BR_031_P,,42
G1T1701_BR_428_MP,5.45,Father,G1T1701_BR_211_MP__G1T1701_BR_428_MP,,,G1T1701_BR_064_P__G1T1701_BR_033_P,,36
G1T1701_BR_428_MP,5.45,Father,G1T1701_BR_204_M__G1T1701_BR_428_MP,,,G1T1701_BR_065_P__G1T1701_BR_035_P,,33
G1T1701_BR_262_MP,6.03,Father,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,G1T1701_BR_065_P__G1T1701_BR_036_P,,12
G1T1701_BR_262_MP,6.03,Father,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,G1T1701_BR_067_GP__G1T1701_BR_037_P,,171
G1T1701_BR_251_MP,6.43,Father,G1T1701_BR_123_MP__G1T1701_BR_251_MP,,,G1T1701_BR_067_GP__G1T1701_BR_038_P,,91
G1T1701_BR_324_MP,#N/A,Father,G1T1701_BR_119_MP__G1T1701_BR_324_MP,,,G1T1701_BR_070_P__G1T1701_BR_041_P,,17
G1T1701_BR_038_P,#N/A,Father,G1T1701_BR_067_GP__G1T1701_BR_038_P,,,G1T1701_BR_095_MP__G1T1701_BR_272_MP,,1
G1T1701_BR_189_MP,#N/A,Father,G1T1701_BR_171_M__G1T1701_BR_189_MP,,,G1T1701_BR_095_MP__G1T1701_BR_283_MP,,46
G1T1701_BR_263_MP,#N/A,Father,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,G1T1701_BR_095_MP__G1T1701_BR_445_MP,,83
G1T1701_BR_283_MP,#N/A,Father,G1T1701_BR_095_MP__G1T1701_BR_283_MP,,,G1T1701_BR_102_MP__G1T1701_BR_325_MP,,3
G1T1701_BR_025_P,#N/A,Father,G1T1701_BR_401_MP__G1T1701_BR_025_P,,,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,107
G1T1701_BR_444_MP,#N/A,Father,G1T1701_BR_134_MP__G1T1701_BR_444_MP,,,G1T1701_BR_117_MP__G1T1701_BR_348_MP,,2
G1T1701_BR_189_MP,#N/A,Father,G1T1701_BR_211_MP__G1T1701_BR_189_MP,,,G1T1701_BR_119_MP__G1T1701_BR_015_P,,36
