Prawnno,PrawnID,GAV,Age,Class,Family ID,IntFamID
1,G1T1701_RD3_091_PL,7.55,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
2,G1T1701_RD3_083_PL,6.93,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
3,G1T1701_RD3_063_PL,7.08,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
4,G1T1701_RD3_051_PL,6.93,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
5,G1T1701_RD3_047_PL,7.54,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
6,G1T1701_RD3_045_PL,6.32,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
7,G1T1701_RD3_040_PL,7,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
8,G1T1701_RD3_037_PL,6.3,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
9,G1T1701_RD3_035_PL,7.17,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
10,G1T1701_RD3_034_PL,7.04,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
11,G1T1701_RD3_028_PL,6.13,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
12,G1T1701_RD3_018_PL,6.53,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
13,G1T1701_RD3_010_PL,6.29,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
14,G1T1701_RD3_005_PL,6.15,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
15,G1T1701_RD2_059_PL,7.01,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
16,G1T1701_RD2_052_PL,6.55,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
17,G1T1701_RD2_045_PL,5.57,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
18,G1T1701_RD2_030_PL,7.30,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
19,G1T1701_RD2_002_PL,7.38,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
20,G1T1701_157_001_H8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
21,G1T1701_157_001_H6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
22,G1T1701_157_001_H5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
23,G1T1701_157_001_H4_G,1.63,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
24,G1T1701_157_001_H11_G,4.53,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
25,G1T1701_157_001_H1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
26,G1T1701_157_001_G11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
27,G1T1701_157_001_G1_G,1.91,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
28,G1T1701_157_001_F9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
29,G1T1701_157_001_F7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
30,G1T1701_157_001_F12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
31,G1T1701_157_001_F10_G,1.43,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
32,G1T1701_157_001_F1_G,2.66,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
33,G1T1701_157_001_E9_G,3.11,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
34,G1T1701_157_001_E8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
35,G1T1701_157_001_E5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
36,G1T1701_157_001_E1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
37,G1T1701_157_001_D6_G,1.3,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
38,G1T1701_157_001_D5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
39,G1T1701_157_001_D1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
40,G1T1701_157_001_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
41,G1T1701_157_001_C8_G,1.69,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
42,G1T1701_157_001_C5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
43,G1T1701_157_001_C4_G,1.57,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
44,G1T1701_157_001_C11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
45,G1T1701_157_001_C10_G,1.36,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
46,G1T1701_157_001_B8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
47,G1T1701_157_001_B5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
48,G1T1701_157_001_B2_G,3.02,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
49,G1T1701_157_001_B11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
50,G1T1701_157_001_B1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
51,G1T1701_157_001_A6_G,1.88,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
52,G1T1701_157_001_A4_G,1.45,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
53,G1T1701_157_001_A2_G,3.95,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
