Broodstock ID,GAV ld/ug TNA,lgGAV
G1T1701_BR_001_P,4426.300748,3.65
G1T1701_BR_002_P,2251.816168,3.35
G1T1701_BR_003_P,2321.521032,3.37
G1T1701_BR_004_P,7801.363954,3.89
G1T1701_BR_005_P,nd,0
G1T1701_BR_006_P,2980.150125,3.47
G1T1701_BR_007_P,12630.93039,4.10
G1T1701_BR_008_P,100027.1429,5.00
G1T1701_BR_009_P,5753.263885,3.76
G1T1701_BR_010_P,45019.37992,4.65
G1T1701_BR_012_P,6197.354531,3.79
G1T1701_BR_013_P,nd,0
G1T1701_BR_014_P,3905.940293,3.59
G1T1701_BR_015_P,88143.07864,4.95
G1T1701_BR_016_P,15823.35656,4.20
G1T1701_BR_017_P,nd,0
G1T1701_BR_018_P,4651499.903,6.67
G1T1701_BR_019_P,17695.4421,4.25
G1T1701_BR_020_P,5279.385375,3.72
G1T1701_BR_021_P,7707.462959,3.89
G1T1701_BR_022_P,2456.677435,3.39
G1T1701_BR_023_P,3026.07799,3.48
G1T1701_BR_024_P,9561.767981,3.98
G1T1701_BR_025_P,5922.836346,3.77
G1T1701_BR_026_P,675.3157154,2.83
G1T1701_BR_027_P,4626.222633,3.67
G1T1701_BR_028_P,172678.8634,5.24
G1T1701_BR_029_P,8997.259156,3.95
G1T1701_BR_030_P,7590.911175,3.88
G1T1701_BR_059_P,18551.08995,4.27
G1T1701_BR_104_MP,30907.48669,4.49
G1T1701_BR_105_MP,2150623.896,6.33
G1T1701_BR_106_M,752913.51,5.88
G1T1701_BR_107_MP,88563.62059,4.95
G1T1701_BR_072_MP,160712.1139,5.21
G1T1701_BR_074_M,253598.3234,5.40
G1T1701_BR_075_MP,63720.51457,4.80
G1T1701_BR_056_P,46344.20689,4.67
G1T1701_BR_076_MP,18683.09529,4.27
G1T1701_BR_077_MP,3060324.221,6.49
G1T1701_BR_031_P,6597.840849,3.82
G1T1701_BR_032_P,7521.503452,3.88
G1T1701_BR_033_P,5564.834589,3.75
G1T1701_BR_034_P,2863.469014,3.46
G1T1701_BR_035_P,2394.744872,3.38
G1T1701_BR_036_P,12554.74751,4.10
G1T1701_BR_037_P,1989.86575,3.30
G1T1701_BR_038_P,2628.878525,3.42
G1T1701_BR_039_P,nd,0
G1T1701_BR_040_MP,nd,0
G1T1701_BR_078_MP,1099514.65,6.04
G1T1701_BR_057_GP,416901.3943,5.62
G1T1701_BR_050_GP,738730.8927,5.87
G1T1701_BR_079_MP,1866.643405,3.27
G1T1701_BR_080_GM,24919.39026,4.40
G1T1701_BR_041_P,nd,0
G1T1701_BR_042_P,11859.57267,4.07
G1T1701_BR_052_P,132408.6958,5.12
G1T1701_BR_048_P,144512.5932,5.16
G1T1701_BR_060_P,37334802.92,7.57
G1T1701_BR_061_P,5553240.276,6.74
G1T1701_BR_062_P,18034.23205,4.26
G1T1701_BR_043_P,6388.05981,3.81
G1T1701_BR_044_P,5266.219768,3.72
G1T1701_BR_045_P,1180.303963,3.07
G1T1701_BR_046_P,6028.129755,3.78
G1T1701_BR_047_P,3583.15964,3.55
G1T1701_BR_063_P,29284.74744,4.47
G1T1701_BR_053_GP,60211.17104,4.78
G1T1701_BR_081_MP,346557.3181,5.54
G1T1701_BR_083_MP,9006.679842,3.95
G1T1701_BR_084_MP,11326.0158,4.05
G1T1701_BR_085_MP,4831979.129,6.68
G1T1701_BR_086_MP,36131446.88,7.56
G1T1701_BR_087_MP,35147806.54,7.55
G1T1701_BR_089_MP,nd,0
G1T1701_BR_090_M,1084193.423,6.04
G1T1701_BR_091_M,2349412.117,6.37
G1T1701_BR_092_M,2421412.474,6.38
G1T1701_BR_065_P,24441.67213,4.39
G1T1701_BR_461_P,19751.57422,4.30
G1T1701_BR_064_P,3191.927472,3.50
G1T1701_BR_054_P,4087454.472,6.61
G1T1701_BR_098_MP,634477.9591,5.80
G1T1701_BR_099_MP,nd,0
G1T1701_BR_100_MP,726364.3275,5.86
G1T1701_BR_102_MP,nd,0
G1T1701_BR_108_MP,361159.2296,5.56
G1T1701_BR_067_GP,210466.9519,5.32
G1T1701_BR_109_MP,nd,0
G1T1701_BR_110_MP,93995.5413,4.97
G1T1701_BR_111_MP,62022.71805,4.79
G1T1701_BR_113_MP,1964504.585,6.29
G1T1701_BR_114_MP,nd,0
G1T1701_BR_116_MP,337517.6663,5.53
G1T1701_BR_117_MP,11167.08898,4.05
G1T1701_BR_051_P,47487.68747,4.68
G1T1701_BR_071_P,55128.72419,4.74
G1T1701_BR_069_GP,146445.9597,5.17
G1T1701_BR_070_P,63227.86307,4.80
G1T1701_BR_119_MP,nd,0
G1T1701_BR_120_MP,nd,0
G1T1701_BR_121_MP,nd,0
G1T1701_BR_122_GMP,22961.33304,4.36
G1T1701_BR_123_MP,nd,0
G1T1701_BR_125_M,nd,0
G1T1701_BR_126_MP,686173.7375,5.84
G1T1701_BR_127_MP,309086.436,5.49
G1T1701_BR_130_M,22940.13657,4.36
G1T1701_BR_131_M,22596.51633,4.35
G1T1701_BR_133_MP,839048029,8.92
G1T1701_BR_134_MP,923130.2048,5.97
G1T1701_BR_135_MP,3796833.025,6.58
G1T1701_BR_138_MP,nd,0
G1T1701_BR_139_MP,234254722.7,8.37
G1T1701_BR_140_MP,6585129.821,6.82
G1T1701_BR_143_MP,nd,0
G1T1701_BR_144_MP,35662.21759,4.55
G1T1701_BR_146_M,6270.02641,3.80
G1T1701_BR_147_M,9384.903188,3.97
G1T1701_BR_151_MP,8033149.941,6.90
G1T1701_BR_152_MP,146714.1994,5.17
G1T1701_BR_153_MP,nd,0
G1T1701_BR_156_MP,12391445.98,7.09
G1T1701_BR_157_MP,38271.49317,4.58
G1T1701_BR_161_MP,524863178.6,8.72
G1T1701_BR_162_MP,nd,0
G1T1701_BR_163_MP,1094661.628,6.04
G1T1701_BR_164_MP,25626.66935,4.41
G1T1701_BR_166_MP,nd,0
G1T1701_BR_167_MP,565428.5684,5.75
G1T1701_BR_168_MP,103362.3615,5.01
G1T1701_BR_169_MP,3625890.193,6.56
G1T1701_BR_171_M,nd,0
G1T1701_BR_172_MP,19731722.44,7.30
G1T1701_BR_173_M,nd,0
G1T1701_BR_174_M,nd,0
G1T1701_BR_175_GMP,nd,0
G1T1701_BR_176_M,333531.5058,5.52
G1T1701_BR_177_MP,nd,0
G1T1701_BR_180_MP,180144139.7,8.26
G1T1701_BR_181_MP,960605.9395,5.98
G1T1701_BR_183_MP,198355184.6,8.30
G1T1701_BR_184_MP,1467753674,9.17
G1T1701_BR_195_MP,133818.3919,5.13
G1T1701_BR_191_MP,6033839.371,6.78
G1T1701_BR_192_MP,9627.715491,3.98
