Cohort,Code,Age,Class,Animal ID,OffspringlgGAV,FamID,,Family ID,IntFamID,offspring count,pond count,larval count,Father ld,Mother ld,Mean Parent Load,Offspringmeanld,Maxld,Minld,Family ID
201604,parent,broodstock,father,201604BR239,0.00,B1_021,,B1_003,1,20,11,9,3.52,3.49,3.50,5.11,5.66,4.56,B1_003
201604,parent,broodstock,mother,201604BR060,0.00,B1_012,,B1_004,2,78,43,35,3.82,3.51,3.67,3.75,3.95,3.45,B1_004
201604,parent,broodstock,mother,201604BR116,0.00,B1_023,,B1_005,3,23,8,15,NA,3.51,3.51,NA,NA,NA,B1_005
201604,parent,broodstock,mother,201604BR431,0.00,B1_030,,B1_006,4,46,16,30,4.56,3.01,3.79,3.67,3.67,3.67,B1_006
201604,parent,broodstock,mother,201604BR456,0.00,B1_033,,B1_008,5,43,33,10,3.82,3.95,3.89,4.27,7.90,3.20,B1_008
201602,parent,broodstock,mother,201602BR085,1.31,B3_019,,B1_010,6,27,13,14,3.52,3.26,3.39,3.88,3.88,3.88,B1_010
201604,parent,broodstock,mother,201604BR458,1.31,B1_034,,B1_011,7,123,61,62,3.18,3.51,3.35,4.66,6.52,3.77,B1_011
201602,parent,broodstock,father,201602BR105,1.39,B3_007,,B1_012,8,72,9,63,4.56,0.00,2.28,NA,NA,NA,B1_012
201602,parent,broodstock,father,201602BR105,1.39,B3_014,,B1_015,9,109,69,40,3.69,3.42,3.56,3.92,5.12,3.34,B1_015
201602,parent,broodstock,mother,201602BR040,1.46,B3_007,,B1_016,10,21,11,10,3.34,4.09,3.71,3.80,4.11,3.48,B1_016
201602,parent,broodstock,mother,201602BR060,1.51,B3_012,,B1_019,11,48,29,19,3.08,3.05,3.07,4.32,4.92,3.77,B1_019
201604,parent,broodstock,mother,201604BR515,1.58,B1_037,,B1_021,12,46,23,23,0.00,3.41,1.71,4.74,6.08,3.92,B1_021
201602,parent,broodstock,mother,201602BR055,1.63,B3_010,,B1_023,13,34,23,11,5.77,0.00,2.88,3.88,3.88,3.88,B1_023
201602,parent,broodstock,father,201602BR096,1.70,B3_006,,B1_025,14,13,6,7,4.73,3.90,4.32,4.28,4.62,3.93,B1_025
201602,parent,broodstock,father,201602BR096,1.70,B3_016,,B1_026,15,82,38,44,5.50,3.75,4.63,4.76,6.02,4.05,B1_026
201602,parent,broodstock,father,201602BR093,1.73,B3_004,,B1_027,16,14,10,4,4.05,4.18,4.11,NA,NA,NA,B1_027
201602,parent,broodstock,father,201602BR093,1.73,B3_008,,B1_030,17,24,9,15,5.50,0.00,2.75,NA,NA,NA,B1_030
201602,parent,broodstock,father,201602BR087,1.82,B3_011,,B1_033,18,158,59,99,5.14,0.00,2.57,4.00,4.67,3.41,B1_033
201602,parent,broodstock,mother,201602BR035,1.84,B3_003,,B1_034,19,24,11,13,4.73,1.31,3.02,5.46,7.02,3.90,B1_034
201604,parent,broodstock,mother,201604BR537,2.04,B2_017,,B1_036,20,50,23,27,5.14,3.47,4.31,6.07,7.21,4.00,B1_036
201602,parent,broodstock,mother,201602BR069,2.20,B3_015,,B1_037,21,19,10,9,4.41,1.58,2.99,3.80,3.98,3.62,B1_037
