Cohort,PrawnID,GAV,Age,Class,FamID,IntFamID,,,ARC determined genotype,Conc. Ng/ul,,,,B1_005
201701,G1T1701_BR_017_P,0,broodstock,father,G1T1701_BR_054_P__G1T1701_BR_017_P,75,,,G1T1701_BR_001_P,273,,,,B3_013
201701,G1T1701_BR_283_MP,0,broodstock,father,G1T1701_BR_095_MP__G1T1701_BR_283_MP,83,,,G1T1701_BR_002_P,163.3,,,,B2_007
201701,G1T1701_BR_166_MP,0,broodstock,mother,G1T1701_BR_166_MP__G1T1701_BR_263_MP,65,,,G1T1701_BR_003_P,179.9,,,,B3_020
201701,G1T1701_BR_119_MP,0,broodstock,mother,G1T1701_BR_119_MP__G1T1701_BR_324_MP,68,,,G1T1701_BR_004_P,146.7,,,,B2_021
201701,G1T1701_BR_360_MP,0,broodstock,mother,G1T1701_BR_360_MP__G1T1701_BR_318_MP,77,,,G1T1701_BR_005_P,112.6,,,,B3_019
201701,G1T1701_BR_211_MP,0,broodstock,mother,G1T1701_BR_211_MP__G1T1701_BR_189_MP,78,,,G1T1701_BR_006_P,147.6,,,,B2_020
201701,G1T1701_BR_171_M,0,broodstock,mother,G1T1701_BR_171_M__G1T1701_BR_189_MP,79,,,G1T1701_BR_007_P,179.3,,,,B3_005
201701,G1T1701_BR_095_MP,0,broodstock,mother,G1T1701_BR_095_MP__G1T1701_BR_283_MP,83,,,G1T1701_BR_008_P,179.1,,,,B3_001
201701,G1T1701_150_005_C3_G,0,pond,offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,63,,,G1T1701_BR_009_P,141.3,,,,B3_010
201701,G1T1701_150_005_G8_G,0,pond,offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,63,,,G1T1701_BR_010_P,148.6,,,,B2_008
201701,G1T1701_150_005_H7_G,0,pond,offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,63,,,G1T1701_BR_012_P,95.25,,,,B3_023
201701,G1T1701_152_001_D8_G,0,pond,offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,63,,,G1T1701_BR_013_P,207.2,,,,B2_019
201701,G1T1701_152_001_F11_G,0,pond,offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,63,,,G1T1701_BR_014_P,176.6,,,,B3_029
201701,G1T1701_155_001_B6_G,0,pond,offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,63,,,G1T1701_BR_015_P,202.7,,,,
