Cohort,PrawnID,GAV,Age,Class,FamID,IntFamID
201604,201604BR456,0,broodstock,mother,B1_033,1
201604,243_01_A5G,0,pond,offspring,B1_033,1
201604,243_01_C8G,0,pond,offspring,B1_033,1
201604,243_01_F7G,0,pond,offspring,B1_033,1
201604,244_01_D12G,0,pond,offspring,B1_033,1
201604,244_01_G8G,0,pond,offspring,B1_033,1
201604,243_01_C7G,3.41,pond,offspring,B1_033,1
201604,244_01_E9G,3.5,pond,offspring,B1_033,1
201604,243_01_F9G,3.53,pond,offspring,B1_033,1
201604,243_01_F10G,3.8,pond,offspring,B1_033,1
201604,243_01_B4G,3.81,pond,offspring,B1_033,1
201604,243_01_G6G,4.05,pond,offspring,B1_033,1
201604,243_01_B11G,4.39,pond,offspring,B1_033,1
201604,243_01_E11G,4.53,pond,offspring,B1_033,1
201604,243_01_A11G,4.67,pond,offspring,B1_033,1
201604,201604BR347,5.14,broodstock,father,B1_033,1
201604,RC8_497_PL,6.28,larval,offspring,B1_033,1
201604,RC8_500_PL,6.74,larval,offspring,B1_033,1
201604,RC8_557_PL,6.75,larval,offspring,B1_033,1
201604,RC8_528_PL,6.91,larval,offspring,B1_033,1
201604,RC8_503_PL,6.91,larval,offspring,B1_033,1
201604,RC9_104_PL,7.01,larval,offspring,B1_033,1
201604,RC9_271_PL,7.1,larval,offspring,B1_033,1
201604,RC9_223_PL,7.14,larval,offspring,B1_033,1
201604,RC9_191_PL,7.18,larval,offspring,B1_033,1
201604,RC9_204_PL,7.18,larval,offspring,B1_033,1
201604,RC9_266_PL,7.22,larval,offspring,B1_033,1
201604,RC9_255_PL,7.3,larval,offspring,B1_033,1
201604,RC9_263_PL,7.32,larval,offspring,B1_033,1
201604,RC8_562_PL,7.32,larval,offspring,B1_033,1
201604,RC9_244_PL,7.4,larval,offspring,B1_033,1
201604,RC9_184_PL,7.44,larval,offspring,B1_033,1
201604,RC9_268_PL,7.44,larval,offspring,B1_033,1
201604,RC8_520_PL,7.51,larval,offspring,B1_033,1
201604,RC8_548_PL,7.52,larval,offspring,B1_033,1
201604,RC9_259_PL,7.57,larval,offspring,B1_033,1
201604,RC8_149_PL,7.59,larval,offspring,B1_033,1
201604,RC9_185_PL,7.63,larval,offspring,B1_033,1
201604,RC9_130_PL,7.68,larval,offspring,B1_033,1
201604,RC8_523_PL,7.76,larval,offspring,B1_033,1
201604,RC8_110_PL,7.76,larval,offspring,B1_033,1
201604,RC8_154_PL,7.76,larval,offspring,B1_033,1
201604,RC8_108_PL,7.79,larval,offspring,B1_033,1
201604,RC9_124_PL,7.81,larval,offspring,B1_033,1
201604,RC9_118_PL,7.87,larval,offspring,B1_033,1
201604,RC8_544_PL,7.91,larval,offspring,B1_033,1
201604,RC9_206_PL,7.95,larval,offspring,B1_033,1
201604,RC8_535_PL,8.19,larval,offspring,B1_033,1
201604,RC9_101_PL,9.05,larval,offspring,B1_033,1
201604,201604BR060,0,broodstock,mother,B1_012,2
201604,201604BR158,4.56,broodstock,father,B1_012,2
201604,RC8_527_PL,6.27,larval,offspring,B1_012,2
201604,RC9_127_PL,6.41,larval,offspring,B1_012,2
201604,RC9_254_PL,6.53,larval,offspring,B1_012,2
201604,RC9_260_PL,6.59,larval,offspring,B1_012,2
201604,RC9_203_PL,6.63,larval,offspring,B1_012,2
201604,RC9_173_PL,6.7,larval,offspring,B1_012,2
201604,RC8_119_PL,6.7,larval,offspring,B1_012,2
201604,RC9_148_PL,6.72,larval,offspring,B1_012,2
201604,RC9_212_PL,6.73,larval,offspring,B1_012,2
201602,RC9_135_PL,6.77,larval,offspring,B1_012,2
201602,RC9_150_PL,6.82,larval,offspring,B1_012,2
201604,RC9_167_PL,6.88,larval,offspring,B1_012,2
201604,RC8_142_PL,6.91,larval,offspring,B1_012,2
201604,RC9_182_PL,6.92,larval,offspring,B1_012,2
201604,RC9_188_PL,7,larval,offspring,B1_012,2
201604,RC8_480_PL,7,larval,offspring,B1_012,2
201604,RC9_174_PL,7.14,larval,offspring,B1_012,2
201604,RC9_126_PL,7.15,larval,offspring,B1_012,2
201604,RC9_186_PL,7.17,larval,offspring,B1_012,2
201604,RC8_159_PL,7.25,larval,offspring,B1_012,2
201604,RC8_507_PL,7.26,larval,offspring,B1_012,2
201604,RC9_163_PL,7.27,larval,offspring,B1_012,2
201604,RC9_159_PL,7.41,larval,offspring,B1_012,2
201604,RC8_515_PL,7.41,larval,offspring,B1_012,2
201604,RC9_117_PL,7.42,larval,offspring,B1_012,2
201604,RC9_217_PL,7.59,larval,offspring,B1_012,2
201604,RC9_122_PL,7.64,larval,offspring,B1_012,2
201602,RC9_233_PL,7.65,larval,offspring,B1_012,2
201604,RC9_253_PL,7.66,larval,offspring,B1_012,2
201604,RC9_177_PL,7.84,larval,offspring,B1_012,2
201604,RC9_115_PL,7.9,larval,offspring,B1_012,2
201602,RC8_104_PL,7.92,larval,offspring,B1_012,2
201604,201604BR412,3.75,broodstock,mother,B1_026,3
201604,244_01_D11G,4.05,pond,offspring,B1_026,3
201604,243_01_E12G,4.06,pond,offspring,B1_026,3
201604,243_01_C4G,4.23,pond,offspring,B1_026,3
201604,243_01_G8G,4.31,pond,offspring,B1_026,3
201604,243_01_B5G,4.91,pond,offspring,B1_026,3
201604,RC9_208_PL,5.04,larval,offspring,B1_026,3
201604,201604BR289,5.5,broodstock,father,B1_026,3
201604,243_01_G5G,5.8,pond,offspring,B1_026,3
201604,243_01_A6G,6.02,pond,offspring,B1_026,3
201604,RC8_182_PL,6.3,larval,offspring,B1_026,3
201604,RC8_472_PL,6.85,larval,offspring,B1_026,3
201604,RC8_495_PL,6.86,larval,offspring,B1_026,3
201604,RC9_192_PL,7.04,larval,offspring,B1_026,3
201604,RC9_200_PL,7.13,larval,offspring,B1_026,3
201604,RC9_248_PL,7.33,larval,offspring,B1_026,3
201604,RC8_137_PL,7.42,larval,offspring,B1_026,3
201604,RC9_193_PL,7.48,larval,offspring,B1_026,3
201604,RC8_136_PL,7.59,larval,offspring,B1_026,3
201604,RC9_170_PL,7.67,larval,offspring,B1_026,3
201604,RC9_228_PL,7.73,larval,offspring,B1_026,3
201604,RC9_229_PL,7.92,larval,offspring,B1_026,3
201604,RC8_126_PL,8.19,larval,offspring,B1_026,3
201604,RC9_132_PL,8.2,larval,offspring,B1_026,3
201604,RC9_231_PL,8.21,larval,offspring,B1_026,3
201604,RC9_215_PL,8.42,larval,offspring,B1_026,3
201604,201604BR192,3.18,broodstock,father,B1_011,4
201604,201604BR059,3.51,broodstock,mother,B1_011,4
201604,243_01_E8G,3.85,pond,offspring,B1_011,4
201604,244_01_H11G,3.92,pond,offspring,B1_011,4
201602,244_01_H8G,5,pond,offspring,B1_011,4
201604,243_01_H3G,6.52,pond,offspring,B1_011,4
201604,RC9_210_PL,6.63,larval,offspring,B1_011,4
201604,RC8_551_PL,6.84,larval,offspring,B1_011,4
201604,RC8_133_PL,7.26,larval,offspring,B1_011,4
201604,RC9_221_PL,7.31,larval,offspring,B1_011,4
201604,RC9_143_PL,7.36,larval,offspring,B1_011,4
201604,RC8_109_PL,7.47,larval,offspring,B1_011,4
201604,RC8_532_PL,7.48,larval,offspring,B1_011,4
201604,RC8_164_PL,7.5,larval,offspring,B1_011,4
201604,RC9_137_PL,7.56,larval,offspring,B1_011,4
201604,RC9_216_PL,7.65,larval,offspring,B1_011,4
201604,RC9_198_PL,7.71,larval,offspring,B1_011,4
201604,RC8_493_PL,7.72,larval,offspring,B1_011,4
201604,RC9_219_PL,7.79,larval,offspring,B1_011,4
201604,RC8_174_PL,7.81,larval,offspring,B1_011,4
201604,RC9_261_PL,7.91,larval,offspring,B1_011,4
201604,RC9_141_PL,7.93,larval,offspring,B1_011,4
201604,201604BR431,0,broodstock,mother,B1_030,5
201604,201604BR289,5.5,broodstock,father,B1_030,5
201604,RC9_145_PL,6.94,larval,offspring,B1_030,5
201604,RC9_209_PL,6.97,larval,offspring,B1_030,5
201604,RC9_234_PL,7.01,larval,offspring,B1_030,5
201604,RC9_178_PL,7.08,larval,offspring,B1_030,5
201604,RC9_147_PL,7.08,larval,offspring,B1_030,5
201604,RC9_176_PL,7.19,larval,offspring,B1_030,5
201604,RC9_279_PL,7.37,larval,offspring,B1_030,5
201604,RC9_123_PL,7.63,larval,offspring,B1_030,5
201604,RC9_161_PL,7.67,larval,offspring,B1_030,5
201604,RC9_224_PL,7.67,larval,offspring,B1_030,5
201604,RC9_235_PL,7.75,larval,offspring,B1_030,5
201604,RC9_169_PL,9.44,larval,offspring,B1_030,5
201602,244_01_E10G,0,pond,offspring,B1_004,6
201604,243_01_D5G,0,pond,offspring,B1_004,6
201604,243_01_D7G,0,pond,offspring,B1_004,6
201602,201604BR020,3.51,broodstock,mother,B1_004,6
201602,244_01_E7G,3.71,pond,offspring,B1_004,6
201602,244_01_G7G,3.72,pond,offspring,B1_004,6
201604,201604BR199,3.82,broodstock,father,B1_004,6
201602,244_01_B9G,3.93,pond,offspring,B1_004,6
201602,RC8_531_PL,4.01,larval,offspring,B1_004,6
201602,RC8_131_PL,4.2,larval,offspring,B1_004,6
201602,RC8_534_PL,4.75,larval,offspring,B1_004,6
201602,RC8_114_PL,5.26,larval,offspring,B1_004,6
201602,RC8_521_PL,6.45,larval,offspring,B1_004,6
201602,RC9_262_PL,6.61,larval,offspring,B1_004,6
201604,RC9_144_PL,6.72,larval,offspring,B1_004,6
201602,RC8_477_PL,6.94,larval,offspring,B1_004,6
201602,RC8_099_PL,7.15,larval,offspring,B1_004,6
201602,RC9_232_PL,7.38,larval,offspring,B1_004,6
201604,RC9_258_PL,7.43,larval,offspring,B1_004,6
201604,201604BR239,0,broodstock,father,B1_021,7
201604,201604BR103,3.41,broodstock,mother,B1_021,7
201604,243_01_C6G,3.92,pond,offspring,B1_021,7
201604,243_01_G11G,4.21,pond,offspring,B1_021,7
201604,RC8_130_PL,6.88,larval,offspring,B1_021,7
201604,RC9_199_PL,7.04,larval,offspring,B1_021,7
201602,RC8_524_PL,7.09,larval,offspring,B1_021,7
201602,RC9_264_PL,7.22,larval,offspring,B1_021,7
201604,RC9_175_PL,7.25,larval,offspring,B1_021,7
201602,RC9_256_PL,7.36,larval,offspring,B1_021,7
201604,RC8_526_PL,7.38,larval,offspring,B1_021,7
201604,RC9_252_PL,7.39,larval,offspring,B1_021,7
201602,RC9_250_PL,7.41,larval,offspring,B1_021,7
201604,RC9_120_PL,7.54,larval,offspring,B1_021,7
201604,201604BR084,3.05,broodstock,mother,B1_019,8
201604,201604BR145,3.08,broodstock,father,B1_019,8
201604,243_01_C9G,3.77,pond,offspring,B1_019,8
201604,243_01_H5G,4.21,pond,offspring,B1_019,8
201604,243_01_D9G,4.7,pond,offspring,B1_019,8
201604,244_01_A12G,4.77,pond,offspring,B1_019,8
201604,RC8_106_PL,6.03,larval,offspring,B1_019,8
201604,RC8_550_PL,6.42,larval,offspring,B1_019,8
201604,RC8_489_PL,6.93,larval,offspring,B1_019,8
201604,RC8_187_PL,7.13,larval,offspring,B1_019,8
201604,RC8_556_PL,7.15,larval,offspring,B1_019,8
201604,RC8_120_PL,7.19,larval,offspring,B1_019,8
201604,RC8_476_PL,7.21,larval,offspring,B1_019,8
201604,RC8_501_PL,7.24,larval,offspring,B1_019,8
201604,RC8_145_PL,7.43,larval,offspring,B1_019,8
201604,RC8_177_PL,7.59,larval,offspring,B1_019,8
201604,201604BR021,3.01,broodstock,mother,B1_006,9
201604,244_01_B8G,3.67,pond,offspring,B1_006,9
201604,201604BR158,4.56,broodstock,father,B1_006,9
201604,RC9_153_PL,6.26,larval,offspring,B1_006,9
201604,RC9_282_PL,6.68,larval,offspring,B1_006,9
201604,RC9_278_PL,6.82,larval,offspring,B1_006,9
201604,RC8_517_PL,6.96,larval,offspring,B1_006,9
201604,RC9_227_PL,7.18,larval,offspring,B1_006,9
201602,RC9_269_PL,7.22,larval,offspring,B1_006,9
201604,RC9_179_PL,7.24,larval,offspring,B1_006,9
201602,RC9_222_PL,7.26,larval,offspring,B1_006,9
201602,201604BR020,3.51,broodstock,mother,B1_005,10
201604,RC9_272_PL,4.1,larval,offspring,B1_005,10
201604,RC9_194_PL,5.15,larval,offspring,B1_005,10
201604,RC9_207_PL,6.7,larval,offspring,B1_005,10
201604,RC9_189_PL,7.1,larval,offspring,B1_005,10
201602,RC9_245_PL,7.14,larval,offspring,B1_005,10
201604,RC9_273_PL,7.21,larval,offspring,B1_005,10
201602,RC9_281_PL,7.52,larval,offspring,B1_005,10
201604,RC9_195_PL,7.59,larval,offspring,B1_005,10
201604,201604BR271,NA,broodstock,father,B1_005,10
201604,201604BR479,3.47,broodstock,mother,B1_036,11
201604,243_01_B10G,4,pond,offspring,B1_036,11
201604,201604BR347,5.14,broodstock,father,B1_036,11
201604,243_01_B12G,6.09,pond,offspring,B1_036,11
201604,RC9_154_PL,6.51,larval,offspring,B1_036,11
201604,RC9_267_PL,6.93,larval,offspring,B1_036,11
201602,RC9_275_PL,6.98,larval,offspring,B1_036,11
201604,RC9_276_PL,7.07,larval,offspring,B1_036,11
201604,243_01_G9G,7.21,pond,offspring,B1_036,11
201604,RC9_171_PL,7.35,larval,offspring,B1_036,11
201604,RC9_265_PL,7.51,larval,offspring,B1_036,11
201604,RC8_143_PL,7.73,larval,offspring,B1_036,11
201604,244_01_B10G,0,pond,offspring,B1_015,12
