Cohort,OffspringID,Offspringlggav,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamilyID,gavscreenlist,FamilyID,Offspring count,Pond count,Larval count
201604,135_001_A1_G,3.66,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,y,B2_014,118,26,92
201604,135_001_A10_G,ND,135,pond,201604BR223,NA,201604BR102,0,B2_007,y,B1_033,113,14,99
201604,135_001_A11_G,2.81,135,pond,201604BR142,0,201604BR049,0,B2_003,y,B3_012,96,5,91
201604,135_001_A12_G,4.09,135,pond,201604BR261,NA,201604BR119,4,B2_021,y,B2_010,90,21,69
201604,135_001_A2_G,3.47,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,y,B2_007,84,23,61
201604,135_001_A3_G,4.61,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,y,B3_011,76,23,53
201604,135_001_A4_G,4.33,135,pond,201604BR365,3.55,201604BR537,2.04,B2_017,y,B3_020,75,17,58
201604,135_001_A5_G,ND,135,pond,201604BR142,0,201604BR049,0,B2_003,y,B2_017,74,11,63
201604,135_001_A6_G,3.02,135,pond,201604BR359,4.35,201604BR071,3.5,B2_016,y,B3_013,73,10,63
201604,135_001_A7_G,2.96,135,pond,201604BR231,3.15,201604BR074,4.09,B2_009,y,B2_013,67,17,50
201604,135_001_A8_G,2.78,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,B1_011,66,4,62
201604,135_001_B10_G,ND,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B1_012,63,0,63
201604,135_001_B11_G,3.48,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B2_015,61,14,47
201604,135_001_B3_G,ND,135,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,B2_021,57,4,53
201604,135_001_B4_G,6.65,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,B2_003,56,13,43
201604,135_001_B5_G,ND,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B3_016,51,9,42
201604,135_001_B6_G,3.72,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,B1_026,51,7,44
201604,135_001_B7_G,3.38,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,B3_007,49,5,44
201604,135_001_B8_G,2.58,135,pond,201604BR142,0,201604BR049,0,B2_003,n,B3_019,45,3,42
201604,135_001_B9_G,3.26,135,pond,201604BR261,NA,201604BR103,3.41,B2_020,n,G1T1701_BR_131_M__G1T1701_BR_262_MP,44,44,0
201604,135_001_C1_G,5.23,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,B1_015,44,4,40
201604,135_001_C10_G,2.84,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B2_020,41,5,36
201604,135_001_C12_G,3.91,135,pond,201604BR231,3.15,201604BR074,4.09,B2_009,n,B1_004,41,6,35
201604,135_001_C2_G,4.17,135,pond,201604BR277,3.38,201604BR003,3.03,B2_011,n,B3_004,38,1,37
201604,135_001_C4_G,ND,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B2_018,36,1,35
201604,135_001_C5_G,ND,135,pond,201604BR359,4.35,201604BR071,3.5,B2_016,n,B3_005,35,12,23
201604,135_001_C6_G,3.8,135,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,B3_001,34,12,22
201604,135_001_C7_G,ND,135,pond,201604BR142,0,201604BR049,0,B2_003,n,B3_009,34,8,26
201604,135_001_C9_G,2.98,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,B1_006,31,1,30
201604,135_001_D1_G,4.72,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,B2_011,30,3,27
201604,135_001_D10_G,3.07,135,pond,201604BR133,3.9,201604BR062,3.06,B2_002,n,B1_036,30,3,27
201604,135_001_D11_G,4.31,135,pond,201604BR142,0,201604BR049,0,B2_003,n,B2_019,27,3,24
201604,135_001_D12_G,4.35,135,pond,201604BR277,3.38,201604BR003,3.03,B2_011,n,B3_008,27,0,27
201604,135_001_D4_G,ND,135,pond,201604BR231,3.15,201604BR074,4.09,B2_009,n,B2_005,26,2,24
201604,135_001_D5_G,ND,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,B3_015,25,4,21
201604,135_001_D6_G,ND,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,B1_021,25,2,23
201604,135_001_D7_G,ND,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,B3_003,24,2,22
201604,135_001_D8_G,6.38,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_182_MP__G1T1701_BR_023_P,24,24,0
201604,135_001_D9_G,3.48,135,pond,201604BR247,3.16,201604BR474,NA,B2_019,n,B2_004,23,1,22
201604,135_001_E1_G,3.46,135,pond,201604BR231,3.15,201604BR074,4.09,B2_009,n,B1_019,23,4,19
201604,135_001_E10_G,3.21,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,B2_016,19,4,15
201604,135_001_E11_G,3.59,135,pond,201604BR189,3.85,201604BR085,3.97,B2_005,n,G1T1701_BR_166_MP__G1T1701_BR_263_MP,19,19,0
201604,135_001_E12_G,5.6,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,B1_008,19,9,10
201604,135_001_E2_G,5.06,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,B2_009,18,5,13
201604,135_001_E3_G,3.58,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,B3_029,18,1,17
201604,135_001_E4_G,ND,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B2_002,17,3,14
201604,135_001_E5_G,3.38,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_048_P__G1T1701_BR_002_P,16,16,0
201604,135_001_E6_G,5.87,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,G1T1701_BR_049_GP__G1T1701_BR_003_P,15,15,0
201604,135_001_E7_G,3.82,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_360_MP__G1T1701_BR_318_MP,15,15,0
201604,135_001_E8_G,3.83,135,pond,201604BR142,0,201604BR049,0,B2_003,n,B1_034,15,2,13
201604,135_001_E9_G,ND,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B1_030,15,0,15
201604,135_001_F1_G,ND,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,B1_005,15,0,15
201604,135_001_F11_G,3.07,135,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,B3_017,14,2,12
201604,135_001_F12_G,6.4,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,B1_016,14,4,10
201604,135_001_F2_G,7.21,135,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,B1_010,14,0,14
201604,135_001_F3_G,2.75,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,G1T1701_BR_048_P__G1T1701_BR_001_P,13,13,0
201604,135_001_F4_G,ND,135,pond,201604BR170,3.94,201604BR021,3.01,B2_004,n,G1T1701_BR_067_GP__G1T1701_BR_037_P,12,12,0
201604,135_001_F5_G,ND,135,pond,201604BR376,3.34,201604BR457,2.28,B2_018,n,B1_023,12,1,11
201604,135_001_F6_G,3.93,135,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,B3_014,11,3,8
201604,135_001_F7_G,6.23,135,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,G1T1701_BR_112_MP__G1T1701_BR_002_P,11,11,0
201604,135_001_F9_G,2.74,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,B1_003,11,2,9
201604,135_001_G1_G,3.59,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,B1_037,11,2,9
201604,135_001_G10_G,3.99,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,G1T1701_BR_139_MP__G1T1701_BR_042_P,10,10,0
201604,135_001_G2_G,5.12,135,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,G1T1701_BR_053_GP__G1T1701_BR_006_P,9,9,0
201604,135_001_G4_G,4.05,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_182_MP__G1T1701_BR_024_P,9,9,0
201604,135_001_G5_G,ND,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,B1_025,9,2,7
201604,135_001_G6_G,ND,135,pond,201604BR247,3.16,201604BR474,NA,B2_019,n,B2_012,9,0,9
201604,135_001_G7_G,4.85,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B2_008,9,0,9
201604,135_001_G8_G,3.27,135,pond,201604BR133,3.9,201604BR062,3.06,B2_002,n,B3_023,8,3,5
201604,135_001_G9_G,ND,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,G1T1701_BR_119_MP__G1T1701_BR_324_MP,8,8,0
201604,135_001_H1_G,4.6,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_053_GP__G1T1701_BR_005_P,6,6,0
201604,135_001_H10_G,3.49,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,G1T1701_BR_113_MP__G1T1701_BR_262_MP,6,6,0
201604,135_001_H11_G,3.57,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,G1T1701_BR_401_MP__G1T1701_BR_025_P,6,6,0
201604,135_001_H2_G,ND,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,G1T1701_BR_159_MP__G1T1701_BR_444_MP,6,6,0
201604,135_001_H4_G,ND,135,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,B3_006,6,0,6
201604,135_001_H5_G,ND,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,G1T1701_BR_067_GP__G1T1701_BR_038_P,5,5,0
201604,135_001_H9_G,3.14,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_134_MP__G1T1701_BR_444_MP,5,5,0
201604,136_001_A1_G,6.45,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,G1T1701_BR_119_MP__G1T1701_BR_015_P,4,4,0
201604,136_001_A11_G,6.98,136,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,G1T1701_BR_123_MP__G1T1701_BR_251_MP,4,4,0
201604,136_001_A12_G,3.45,136,pond,201604BR359,4.35,201604BR071,3.5,B2_016,n,G1T1701_BR_103_MP__G1T1701_BR_012_P,4,4,0
201604,136_001_A2_G,ND,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B1_027,4,0,4
201604,136_001_A3_G,ND,136,pond,201604BR261,NA,201604BR103,3.41,B2_020,n,G1T1701_BR_103_MP__G1T1701_BR_014_P,3,3,0
201604,136_001_A4_G,3.69,136,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,G1T1701_BR_211_MP__G1T1701_BR_428_MP,3,3,0
201604,136_001_A5_G,ND,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,G1T1701_BR_049_GP__G1T1701_BR_001_P,2,2,0
