Cohort,AnimalID,Class,GAV,Code,Type,FamilyID,IntFamID
201604,201604BR326,Father,4.07,BR,BR,B2_014,1
201604,201604BR347,Father,5.14,BR,BR,B1_033,2
201602,201602BR088,Father,2.31,BR,BR,B3_012,3
201604,201604BR231,Father,3.15,BR,BR,B2_010,4
201604,201604BR223,Father,NA,BR,BR,B2_007,5
201602,201602BR087,Father,1.82,BR,BR,B3_011,6
201602,201602BR118,Father,NA,BR,BR,B3_020,7
201604,201604BR365,Father,3.55,BR,BR,B2_017,8
201602,201602BR121,Father,NA,BR,BR,B3_013,9
201604,201604BR323,Father,5.47,BR,BR,B2_013,10
201604,201604BR192,Father,3.18,BR,BR,B1_011,11
201604,201604BR158,Father,4.56,BR,BR,B1_012,12
201604,201604BR336,Father,5.39,BR,BR,B2_015,13
201604,201604BR261,Father,NA,BR,BR,B2_021,14
201604,201604BR142,Father,0,BR,BR,B2_003,15
201604,201604BR289,Father,5.5,BR,BR,B1_026,16
201602,201602BR096,Father,1.7,BR,BR,B3_016,17
201602,201602BR105,Father,1.39,BR,BR,B3_007,18
201602,201602BR020,Father,NA,BR,BR,B3_019,19
201604,201604BR195,Father,3.69,BR,BR,B1_015,20
G1T1701,G1T1701_BR_131_M,Father,0,BR,BR,G1T1701_BR_131_M__G1T1701_BR_262_MP,21
201604,201604BR199,Father,3.82,BR,BR,B1_004,22
201604,201604BR261,Father,NA,BR,BR,B2_020,23
201602,201602BR093,Father,1.73,BR,BR,B3_004,24
201604,201604BR376,Father,3.34,BR,BR,B2_018,25
201602,201602BR125,Father,NA,BR,BR,B3_005,26
201602,201602BR113,Father,NA,BR,BR,B3_001,27
201602,201602BR110,Father,0,BR,BR,B3_009,28
201604,201604BR158,Father,4.56,BR,BR,B1_006,29
201604,201604BR347,Father,5.14,BR,BR,B1_036,30
201604,201604BR277,Father,3.38,BR,BR,B2_011,31
201604,201604BR247,Father,3.16,BR,BR,B2_019,32
201602,201602BR093,Father,1.73,BR,BR,B3_008,33
201604,201604BR189,Father,3.85,BR,BR,B2_005,34
201604,201604BR239,Father,0,BR,BR,B1_021,35
201602,201602BR104,Father,0,BR,BR,B3_015,36
201602,201602BR102,Father,3.57,BR,BR,B3_003,37
G1T1701,G1T1701_BR_182_MP,Father,4.26,BR,BR,G1T1701_BR_182_MP__G1T1701_BR_023_P,38
201604,201604BR145,Father,3.08,BR,BR,B1_019,39
201604,201604BR170,Father,3.94,BR,BR,B2_004,40
201604,201604BR199,Father,3.82,BR,BR,B1_008,41
201604,201604BR359,Father,4.35,BR,BR,B2_016,42
G1T1701,G1T1701_BR_166_MP,Father,0,BR,BR,G1T1701_BR_166_MP__G1T1701_BR_263_MP,43
201604,201604BR231,Father,3.15,BR,BR,B2_009,44
201602,201602BR127,Father,0,BR,BR,B3_029,45
201604,201604BR133,Father,3.9,BR,BR,B2_002,46
G1T1701,G1T1701_BR_048_P,Father,5.16,BR,BR,G1T1701_BR_048_P__G1T1701_BR_002_P,47
201604,201604BR271,Father,NA,BR,BR,B1_005,48
201604,201604BR289,Father,5.5,BR,BR,B1_030,49
201604,201604BR282,Father,4.73,BR,BR,B1_034,50
G1T1701,G1T1701_BR_049_GP,Father,0,BR,BR,G1T1701_BR_049_GP__G1T1701_BR_003_P,51
G1T1701,G1T1701_BR_360_MP,Father,0,BR,BR,G1T1701_BR_360_MP__G1T1701_BR_318_MP,52
201604,201604BR160,Father,3.52,BR,BR,B1_010,53
201604,201604BR157,Father,3.34,BR,BR,B1_016,54
201602,201602BR102,Father,3.57,BR,BR,B3_017,55
G1T1701,G1T1701_BR_048_P,Father,5.16,BR,BR,G1T1701_BR_048_P__G1T1701_BR_001_P,56
201604,201604BR146,Father,5.77,BR,BR,B1_023,57
G1T1701,G1T1701_BR_067_GP,Father,5.32,BR,BR,G1T1701_BR_067_GP__G1T1701_BR_037_P,58
201604,201604BR385,Father,4.41,BR,BR,B1_037,59
201602,201602BR109,Father,NA,BR,BR,B3_010,60
201602,201602BR105,Father,1.39,BR,BR,B3_014,61
G1T1701,G1T1701_BR_112_MP,Father,NA,BR,BR,G1T1701_BR_112_MP__G1T1701_BR_002_P,62
201604,201604BR160,Father,3.52,BR,BR,B1_003,63
G1T1701,G1T1701_BR_139_MP,Father,8.37,BR,BR,G1T1701_BR_139_MP__G1T1701_BR_042_P,64
201604,201604BR282,Father,4.73,BR,BR,B1_025,65
