Cohort,SampleID,GAV,Class,Code,Type,FamilyID,IntFamID,,,,,,,,sample ID,GAV
201604,135_001_A1_G,3.66,Offspring,135,pond,B2_014,1,,,,,,,,RC8_052,NA
201604,135_001_A10_G,0,Offspring,135,pond,B2_007,5,,,,,,,,RC8_178,7.26
201604,135_001_A11_G,2.81,Offspring,135,pond,B2_003,15,,,,,,,,RC8_192,NA
201604,135_001_A12_G,4.09,Offspring,135,pond,B2_021,14,,,,,,,,RC8_276,NA
201604,135_001_A2_G,3.47,Offspring,135,pond,B2_014,1,,,,,,,,RC8_315,NA
201604,135_001_A3_G,4.61,Offspring,135,pond,B2_010,4,,,,,,,,RC8_462,NA
201604,135_001_A4_G,4.33,Offspring,135,pond,B2_017,8,,,,,,,,RC8_512,6.9
201604,135_001_A5_G,0,Offspring,135,pond,B2_003,15,,,,,,,,RC8_542,7.83
201604,135_001_A6_G,3.02,Offspring,135,pond,B2_016,41,,,,,,,,RC8_563,6.38
201604,135_001_A7_G,2.96,Offspring,135,pond,B2_009,44,,,,,,,,243_01_C12G,4.56
201604,135_001_A8_G,2.78,Offspring,135,pond,B2_007,5,,,,,,,,244_01_D7G,5.66
201604,135_001_B10_G,0,Offspring,135,pond,B2_014,1,,,,,,,,RC8_028,NA
201604,135_001_B11_G,3.48,Offspring,135,pond,B2_014,1,,,,,,,,RC8_034,NA
201604,135_001_B3_G,0,Offspring,135,pond,B2_017,8,,,,,,,,RC8_071,NA
201604,135_001_B4_G,6.65,Offspring,135,pond,B2_007,5,,,,,,,,RC8_099,7.15
201604,135_001_B5_G,0,Offspring,135,pond,B2_014,1,,,,,,,,RC8_114,5.26
201604,135_001_B6_G,3.72,Offspring,135,pond,B2_013,10,,,,,,,,RC8_131,4.2
201604,135_001_B7_G,3.38,Offspring,135,pond,B2_010,4,,,,,,,,RC8_206,NA
201604,135_001_B8_G,2.58,Offspring,135,pond,B2_003,15,,,,,,,,RC8_246,NA
201604,135_001_B9_G,3.26,Offspring,135,pond,B2_020,22,,,,,,,,RC8_249,NA
201604,135_001_C1_G,5.23,Offspring,135,pond,B2_010,4,,,,,,,,RC8_334,NA
201604,135_001_C10_G,2.84,Offspring,135,pond,B2_014,1,,,,,,,,RC8_344,NA
201604,135_001_C12_G,3.91,Offspring,135,pond,B2_009,44,,,,,,,,RC8_401,NA
201604,135_001_C2_G,4.17,Offspring,135,pond,B2_011,30,,,,,,,,RC8_430,NA
201604,135_001_C4_G,0,Offspring,135,pond,B2_014,1,,,,,,,,RC8_432,NA
201604,135_001_C5_G,0,Offspring,135,pond,B2_016,41,,,,,,,,RC8_438,NA
201604,135_001_C6_G,3.8,Offspring,135,pond,B2_017,8,,,,,,,,RC8_477,6.94
201604,135_001_C7_G,0,Offspring,135,pond,B2_003,15,,,,,,,,RC8_521,6.45
201604,135_001_C9_G,2.98,Offspring,135,pond,B2_010,4,,,,,,,,RC8_531,4.01
201604,135_001_D1_G,4.72,Offspring,135,pond,B2_007,5,,,,,,,,RC8_534,4.75
201604,135_001_D10_G,3.07,Offspring,135,pond,B2_002,46,,,,,,,,RC9_004,NA
201604,135_001_D11_G,4.31,Offspring,135,pond,B2_003,15,,,,,,,,RC9_008,NA
201604,135_001_D12_G,4.35,Offspring,135,pond,B2_011,30,,,,,,,,RC9_035,NA
