BRNO,COHORT,BRID,Lggav,
1,201602,BR026,0.00,
2,201602,BR110,0.00,
3,201602,BR031,0.00,
4,201602,BR114,0.00,
5,201602,BR056,0.00,
6,201602,BR104,0.00,
7,201602,BR123,0.00,
8,201602,BR127,0.00,
9,201602,BR085,1.31,
10,201602,BR105,1.39,
11,201602,BR070,1.46,
12,201602,BR040,1.46,
13,201602,BR060,1.51,
14,201602,BR044,1.51,
15,201602,BR081,1.61,
16,201602,BR096,1.70,
17,201602,BR093,1.73,
18,201602,BR087,1.82,
19,201602,BR035,1.84,
20,201602,BR079,2.14,
21,201602,BR069,2.20,
22,201602,BR054,2.22,
23,201602,BR063,2.29,
24,201602,BR088,2.31,
25,201602,BR075,2.43,
26,201602,BR036,2.76,
27,201602,BR066,3.32,
28,201602,BR102,3.57,
29,201604,BR011,0.00,
30,201604,BR049,0.00,
31,201604,BR060,0.00,
32,201604,BR064,0.00,
33,201604,BR102,0.00,
34,201604,BR114,0.00,
35,201604,BR116,0.00,
36,201604,BR129,0.00,
37,201604,BR142,0.00,
38,201604,BR239,0.00,
39,201604,BR427,0.00,
40,201604,BR429,0.00,
41,201604,BR431,0.00,
42,201604,BR445,0.00,
43,201604,BR456,0.00,
44,201604,BR458,1.31,
45,201604,BR515,1.58,
46,201604,BR537,2.04,
47,201604,BR457,2.28,
48,201604,BR021,3.01,
49,201604,BR003,3.03,
50,201604,BR084,3.05,
51,201604,BR062,3.06,
52,201604,BR145,3.08,
53,201604,BR174,3.11,
54,201604,BR231,3.15,
55,201604,BR247,3.16,
56,201604,BR192,3.18,
57,201604,BR090,3.19,
58,201604,BR061,3.20,
59,201604,BR460,3.23,
60,201604,BR054,3.26,
61,201604,BR157,3.34,
62,201604,BR376,3.34,
63,201604,BR277,3.38,
64,201604,BR103,3.41,
65,201604,BR331,3.42,
66,201604,BR072,3.42,
67,201604,BR479,3.47,
68,201604,BR014,3.49,
69,201604,BR071,3.50,
70,201604,BR099,3.51,
71,201604,BR059,3.51,
72,201604,BR020,3.51,
73,201604,BR160,3.52,
74,201604,BR365,3.55,
75,201604,BR027,3.60,
76,201604,BR195,3.69,
77,201604,BR094,3.71,
78,201604,BR412,3.75,
79,201604,BR531,3.75,
80,201604,BR199,3.82,
81,201604,BR189,3.85,
82,201604,BR133,3.90,
83,201604,BR399,3.90,
84,201604,BR080,3.91,
85,201604,BR170,3.94,
86,201604,BR047,3.95,
87,201604,BR085,3.97,
88,201604,BR119,4.00,
89,201604,BR204,4.05,
90,201604,BR326,4.07,
91,201604,BR074,4.09,
92,201604,BR520,4.15,
93,201604,BR414,4.18,
94,201604,BR359,4.35,
95,201604,BR385,4.41,
