Cohort,OffspringID,Plateno,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamID,FamilyID,Offspring count,Pondcount,Larvalcount
201604,RA4_001,1,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B2_014,118,26,92
201604,RA4_008,1,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B1_033,113,14,99
201604,RA4_009,1,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,B3_012,96,5,91
201604,RA4_021,1,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,B2_010,90,21,69
201604,RA4_025,1,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,B2_007,84,23,61
201604,RA4_040,1,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B3_011,76,23,53
201604,RA4_041,1,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,B3_020,75,17,58
201604,RA4_043,1,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,B2_017,74,11,63
201604,RA4_044,1,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,B3_013,73,10,63
201604,RA4_047,1,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,B2_013,67,17,50
201604,RA4_050,1,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B1_011,66,4,62
201604,RA4_055,1,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,B1_012,63,0,63
201604,RA4_056,1,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B2_015,61,14,47
201604,RA4_058,1,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B2_021,57,4,53
201604,RA4_063,1,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,B2_003,56,13,43
201604,RA4_066,1,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B3_016,51,9,42
201604,RA4_069,1,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,B1_026,51,7,44
201604,RA4_071,1,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,B3_007,49,5,44
201604,RA4_074,1,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,B3_019,45,3,42
