Cohort,PrawnID,GAV,Age,Class,FamID,IntFamID,CohortFamID
201602,201602_141_001_D9_G,0,pond,offspring,B3_012,23,1
201602,201602_141_001_F3_G,0,pond,offspring,B3_012,23,1
201602,201602_142_005_C5_G,0,pond,offspring,B3_012,23,1
201602,201602_142_005_F11_G,0,pond,offspring,B3_012,23,1
201602,201602BR060,1.51,broodstock,mother,B3_012,23,1
201602,201602BR088,2.31,broodstock,father,B3_012,23,1
201602,201602_142_005_A10_G,3.74,pond,offspring,B3_012,23,1
201602,201602_141_001_A3_G,0,pond,offspring,B3_011,30,2
201602,201602_141_001_C1_G,0,pond,offspring,B3_011,30,2
201602,201602_141_001_E6_G,0,pond,offspring,B3_011,30,2
201602,201602_141_001_G10_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_A12_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_B2_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_B3_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_C12_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_D1_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_D12_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_F2_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_F3_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_F5_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_F6_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_G5_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_G6_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_H2_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_H4_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_H5_G,0,pond,offspring,B3_011,30,2
201602,201602_142_005_H6_G,0,pond,offspring,B3_011,30,2
201602,201602BR056,0,broodstock,mother,B3_011,30,2
201602,201602BR087,1.82,broodstock,father,B3_011,30,2
201602,201602_141_001_F11_G,3.08,pond,offspring,B3_011,30,2
201602,201602_141_001_A2_G,3.11,pond,offspring,B3_011,30,2
201602,201602_141_001_C12_G,3.15,pond,offspring,B3_011,30,2
201602,201602_142_005_B7_G,3.91,pond,offspring,B3_011,30,2
201602,201602_142_005_A7_G,4.12,pond,offspring,B3_011,30,2
201602,201602_142_005_F12_G,4.12,pond,offspring,B3_011,30,2
