 ID,GAV,Family ID,Class
G1T1701_149_001_A7_G,NA,1,Offspring
G1T1701_149_001_B11_G,NA,1,Offspring
G1T1701_149_001_B6_G,3.31E+02,1,Offspring
G1T1701_149_001_C3_G,4.47E+01,1,Offspring
G1T1701_149_001_C4_G,NA,1,Offspring
G1T1701_149_001_C7_G,NA,1,Offspring
G1T1701_149_001_C9_G,NA,1,Offspring
G1T1701_149_001_D7_G,2.53E+01,1,Offspring
G1T1701_149_001_F6_G,NA,1,Offspring
G1T1701_149_001_G1_G,NA,1,Offspring
G1T1701_149_002_A2_G,NA,1,Offspring
G1T1701_149_002_A4_G,1.14E+02,1,Offspring
G1T1701_149_002_A6_G,2.65E+04,1,Offspring
G1T1701_149_002_A7_G,3.36E+06,1,Offspring
G1T1701_149_002_B2_G,NA,1,Offspring
G1T1701_149_002_B4_G,NA,1,Offspring
G1T1701_149_002_B5_G,6.39E+02,1,Offspring
G1T1701_149_002_D12_G,1.24E+02,1,Offspring
G1T1701_149_002_D4_G,3.06E+03,1,Offspring
G1T1701_149_002_D8_G,1.86E+02,1,Offspring
G1T1701_149_002_E12_G,NA,1,Offspring
G1T1701_149_002_E6_G,1.16E+05,1,Offspring
G1T1701_149_002_F8_G,NA,1,Offspring
G1T1701_149_002_G3_G,NA,1,Offspring
G1T1701_149_002_G8_G,2.35E+02,1,Offspring
G1T1701_149_002_H10_G,3.83E+03,1,Offspring
G1T1701_149_002_H5_G,NA,1,Offspring
G1T1701_149_002_H7_G,4.41E+04,1,Offspring
G1T1701_149_003_A11_G,2.18E+01,1,Offspring
G1T1701_149_003_A9_G,NA,1,Offspring
G1T1701_149_003_B11_G,NA,1,Offspring
G1T1701_149_003_B6_G,2.06E+04,1,Offspring
G1T1701_149_003_C10_G,NA,1,Offspring
G1T1701_149_003_C5_G,NA,1,Offspring
G1T1701_149_003_C9_G,NA,1,Offspring
G1T1701_149_003_D10_G,NA,1,Offspring
G1T1701_149_003_D2_G,NA,1,Offspring
G1T1701_149_003_E10_G,NA,1,Offspring
G1T1701_149_003_E4_G,NA,1,Offspring
G1T1701_149_003_E8_G,1.92E+01,1,Offspring
G1T1701_149_003_F1_G,1.47E+01,1,Offspring
G1T1701_149_003_F4_G,NA,1,Offspring
G1T1701_149_003_F7_G,NA,1,Offspring
G1T1701_149_003_F9_G,4.39E+02,1,Offspring
G1T1701_149_003_G1_G,1.53E+02,1,Offspring
G1T1701_149_003_G10_G,3.44E+03,1,Offspring
G1T1701_149_003_G11_G,NA,1,Offspring
G1T1701_149_003_G4_G,NA,1,Offspring
G1T1701_149_003_G7_G,2.68E+02,1,Offspring
G1T1701_149_003_G9_G,NA,1,Offspring
G1T1701_149_003_H5_G,NA,1,Offspring
G1T1701_149_003_H6_G,8.70E+01,1,Offspring
G1T1701_149_004_B4_G,4.18E+02,1,Offspring
G1T1701_149_004_E4_G,4.17E+05,1,Offspring
G1T1701_149_004_F3_G,NA,1,Offspring
G1T1701_149_004_G11_G,NA,1,Offspring
G1T1701_149_004_G6_G,NA,1,Offspring
G1T1701_149_004_H5_G,NA,1,Offspring
G1T1701_149_004_H9_G,NA,1,Offspring
G1T1701_149_005_B11_G,NA,1,Offspring
G1T1701_149_005_B9_G,4.34E+01,1,Offspring
G1T1701_149_005_C9_G,NA,1,Offspring
G1T1701_149_005_F1_G,4.16E+04,1,Offspring
G1T1701_149_005_F10_G,NA,1,Offspring
G1T1701_149_005_F11_G,NA,1,Offspring
G1T1701_149_005_G1_G,3.38E+01,1,Offspring
G1T1701_149_005_G2_G,NA,1,Offspring
G1T1701_149_005_H3_G,NA,1,Offspring
G1T1701_149_001_A10_G,NA,2,Offspring
G1T1701_149_001_A5_G,NA,2,Offspring
