Cohort,Pond,Class,Prawn ID,log10GAV,FamilyID,,IntFamID,FamilyID,FamIntID,FatherGAVld,MotherGAVld,Mean Parent Load,Offspringcount,Offspring GAV+ve,Gav+ve(%),Offspring GAV -ve,GAV -ve (%),Offspringmeanld,Maxld,Minld
201604,BR,Father,201604BR160,3.52,B1_003,,FAM_59,B3_004,37,3.34,2.28,2.81,1,0,0,1,100,0,0,0
201604,BR,Father,201604BR199,3.82,B1_004,,FAM_4,B3_008,40,NA,4,4,1,0,0,1,100,0,0,0
201604,BR,Father,201604BR158,4.56,B1_006,,FAM_33,B2_004,20,5.14,3.47,4.31,1,0,0,1,100,0,0,0
201604,BR,Father,201604BR199,3.82,B1_008,,FAM_19,B2_018,31,5.98,nd,5.98,1,0,0,1,100,0,0,0
201604,BR,Father,201604BR160,3.52,B1_010,,FAM_81,G1T1701_BR_170_MP__G1T1701_BR_041_P,77,nd,4.95,2.47,1,1,100,0,0,1.55,1.55,1.55
201604,BR,Father,201604BR192,3.18,B1_011,,FAM_72,B3_015,46,1.39,1.46,1.43,2,0,0,2,100,0,0,0
201604,BR,Father,201604BR195,3.69,B1_015,,FAM_7,B3_019,49,NA,1.63,1.63,2,0,0,2,100,0,0,0
201604,BR,Father,201604BR157,3.34,B1_016,,FAM_53,B3_003,36,3.55,2.04,2.79,2,0,0,2,100,0,0,0
201604,BR,Father,201604BR145,3.08,B1_019,,FAM_65,B1_023,11,3.08,3.05,3.07,2,1,50,1,50,1.94,3.88,0
201604,BR,Father,201604BR239,nd,B1_021,,FAM_55,B1_003,1,3.52,3.49,3.5,2,2,100,0,0,5.11,5.66,4.56
201604,BR,Father,201604BR146,5.77,B1_023,,FAM_24,B1_034,15,5.5,3.75,4.63,2,2,100,0,0,5.46,7.02,3.9
201604,BR,Father,201604BR282,4.73,B1_025,,FAM_14,G1T1701_BR_461_P__G1T1701_BR_041_P,85,NA,nd,NA,3,1,33,2,67,0.41,1.24,0
201604,BR,Father,201604BR289,5.5,B1_026,,FAM_70,B3_014,45,1.7,2.98,2.34,3,1,33,2,67,1.05,3.14,0
201604,BR,Father,201604BR347,5.14,B1_033,,FAM_47,B2_011,25,3.85,3.97,3.91,3,2,67,1,33,2.84,4.35,0
201604,BR,Father,201604BR282,4.73,B1_034,,FAM_74,B1_025,12,nd,3.41,1.71,3,2,67,1,33,2.85,4.62,0
201604,BR,Father,201604BR347,5.14,B1_036,,FAM_26,B2_019,32,5.47,nd,5.47,3,2,67,1,33,3.26,6.3,0
201604,BR,Father,201604BR385,4.41,B1_037,,FAM_60,B1_021,10,3.34,4.09,3.71,3,3,100,0,0,4.74,6.08,3.92
201604,BR,Father,201604BR133,3.9,B2_002,,FAM_66,B3_023,51,2.31,1.51,1.91,4,0,0,4,100,0,0,0
201604,BR,Father,201604BR142,nd,B2_003,,FAM_76,B3_017,48,nd,2.22,2.22,4,0,0,4,100,0,0,0
201604,BR,Father,201604BR170,3.94,B2_004,,FAM_64,B2_016,29,3.15,3.71,3.43,4,3,75,1,25,2.5,3.52,0
201604,BR,Father,201604BR189,3.85,B2_005,,FAM_27,B2_021,34,5.39,3.51,4.45,4,3,75,1,25,3.2,5.09,0
201604,BR,Father,201604BR223,NA,B2_007,,FAM_71,G1T1701_BR_049_GP__G1T1701_BR_001_P,55,1.7,2.43,2.06,5,3,60,2,40,1.52,4.8,0
201604,BR,Father,201604BR231,3.15,B2_009,,FAM_68,B3_012,43,1.73,2.76,2.25,5,1,20,4,80,0.75,3.74,0
