Cohort,Farmcode,Type,Offspring ID,OffspringlgGAV,FatherID,FatherLog10GAV,MotherID,MotherlgGAV,FamilyID,,Family ID,FinalFamno.,offspring count,pondprop.(%),larval prop.(%),Fatherld,Mother ld,Meanparentld,Max ld,Min ld,Mean Offspring ld,Family ID
,,,,,,,,,,,,27,7,0,100,NA,4,4,,,,B2_008
201604,135,pond,135_04_A1G,NA,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_003,45,6,0,100,1.7,2.98,2.34,,,,B3_006
,,,,,,,,,,,,8,70,10,90,4.56,0,2.28,,,,B1_012
201604,135,pond,135_04_E6G,NA,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_004,31,10,10,90,5.98,0,5.98,,,,B2_012
,,,,,,,,,,,,37,41,15,85,3.34,2.28,2.81,,,,B2_018
201604,135,pond,135_04_G1G,NA,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_005,24,26,15,85,3.94,3.01,3.48,,,,B2_004
,,,,,,,,,,,,49,13,15,85,NA,1.63,1.63,,,,B3_010
201604,135,pond,135_04_G5G,NA,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_006,40,71,25,75,NA,4,4,,,,B2_021
,,,,,,,,,,,,51,125,27,73,2.31,1.51,1.91,,,,B3_012
201604,135,pond,135_05_C12G,NA,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_008,39,49,27,73,NA,3.41,3.41,,,,B2_020
,,,,,,,,,,,,25,33,27,73,3.85,3.97,3.91,,,,B2_005
201604,135,pond,135_05_E3G,NA,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_010,3,21,29,71,NA,3.51,3.51,,,,B1_005
,,,,,,,,,,,,43,54,31,69,1.73,2.76,2.25,,,,B3_004
201604,135,pond,135_05_E4G,NA,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_011,47,39,31,69,1.73,2.22,1.98,,,,B3_008
,,,,,,,,,,,,4,44,32,68,4.56,3.01,3.79,,,,B1_006
201604,135,pond,135_05_E6G,NA,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_012,17,22,32,68,5.5,0,2.75,,,,B1_030
,,,,,,,,,,,,38,36,33,67,3.16,NA,3.16,,,,B2_019
201604,135,pond,201604_135_001_D10_G,3.07,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_015,46,68,35,65,1.39,1.46,1.43,,,,B3_007
,,,,,,,,,,,,14,11,36,64,4.73,3.9,4.32,,,,B1_025
201604,135,pond,201604_135_001_G8_G,3.27,201604BR133,3.9,201604BR062,3.06,B2_002,,B1_016,18,156,37,63,5.14,0,2.57,,,,B1_033
,,,,,,,,,,,,57,67,37,63,NA,1.31,1.31,,,,B3_019
201602,135,pond,135_02_B11G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_019,59,8,38,63,NA,0,NA,,,,B3_023
,,,,,,,,,,,,42,36,39,61,3.57,1.84,2.7,,,,B3_003
201602,135,pond,135_02_B12G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_021,60,28,39,61,0,NA,NA,,,,B3_029
,,,,,,,,,,,,36,106,41,59,3.55,2.04,2.79,,,,B2_017
201602,135,pond,135_02_B5G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_023,19,22,41,59,4.73,1.31,3.02,,,,B1_034
,,,,,,,,,,,,54,36,42,58,0,2.2,2.2,,,,B3_015
201602,135,pond,135_02_C1G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_025,20,48,44,56,5.14,3.47,4.31,,,,B1_036
,,,,,,,,,,,,30,48,44,56,3.38,3.03,3.2,,,,B2_011
201602,135,pond,135_02_C6G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_026,6,25,44,56,3.52,3.26,3.39,,,,B1_010
,,,,,,,,,,,,15,80,45,55,5.5,3.75,4.63,,,,B1_026
201602,135,pond,135_02_C7G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_027,10,19,47,53,3.34,4.09,3.71,,,,B1_016
,,,,,,,,,,,,21,17,47,53,4.41,1.58,2.99,,,,B1_037
201602,135,pond,135_02_F12G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_030,53,15,47,53,1.39,3.32,2.36,,,,B3_014
,,,,,,,,,,,,48,50,48,52,0,2.22,2.22,,,,B3_009
201602,135,pond,135_02_H10G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_033,12,44,48,52,0,3.41,1.71,,,,B1_021
,,,,,,,,,,,,28,25,48,52,3.15,4.09,3.62,,,,B2_009
201602,135,pond,135_02_H4G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_034,7,121,49,51,3.18,3.51,3.35,,,,B1_011
,,,,,,,,,,,,1,18,50,50,3.52,3.49,3.5,,,,B1_003
201602,135,pond,135_02_H7G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_036,35,31,52,48,4.35,3.5,3.92,,,,B2_016
,,,,,,,,,,,,56,25,52,48,3.57,2.43,3,,,,B3_017
201602,135,pond,135_03_C5G,NA,201604BR142,0,201604BR049,0,B2_003,,B1_037,55,89,53,47,1.7,2.43,2.06,,,,B3_016
,,,,,,,,,,,,52,137,54,46,NA,2.29,2.29,,,,B3_013
201602,135,pond,135_03_D9G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_002,2,76,54,46,3.82,3.51,3.67,,,,B1_004
,,,,,,,,,,,,22,31,55,45,3.9,3.06,3.48,,,,B2_002
201602,135,pond,135_03_F5G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_003,58,133,56,44,NA,0,NA,,,,B3_020
,,,,,,,,,,,,23,98,56,44,0,0,0,,,,B2_003
201602,135,pond,135_03_G4G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_004,26,141,57,43,NA,0,NA,,,,B2_007
,,,,,,,,,,,,29,170,59,41,3.15,3.71,3.43,,,,B2_010
201602,135,pond,135_04_D7G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_005,11,46,59,41,3.08,3.05,3.07,,,,B1_019
,,,,,,,,,,,,33,235,61,39,4.07,4.15,4.11,,,,B2_014
201602,135,pond,135_04_E10G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_007,9,107,63,37,3.69,3.42,3.56,,,,B1_015
,,,,,,,,,,,,44,64,64,36,NA,2.76,2.76,,,,B3_005
201602,135,pond,135_04_E9G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_008,50,153,65,35,1.82,0,1.82,,,,B3_011
,,,,,,,,,,,,13,32,66,34,5.77,0,2.88,,,,B1_023
201602,135,pond,135_04_G11G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_009,34,143,67,33,5.39,3.51,4.45,,,,B2_015
,,,,,,,,,,,,16,12,67,33,4.05,4.18,4.11,,,,B1_027
201602,135,pond,135_05_F4G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_010,32,155,68,32,5.47,0,5.47,,,,B2_013
,,,,,,,,,,,,41,74,70,30,NA,0,na,,,,B3_001
201602,135,pond,135_05_G8G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_011,5,41,76,24,3.82,3.95,3.89,,,,B1_008
,,,,,,,,,,,,80,427,100,0,0,6.03,3.02,,,,G1T1701_BR_131_M__G1T1701_BR_262_MP
201602,135,pond,135_05_H1G,NA,201604BR142,0,201604BR049,0,B2_003,,B2_012,86,219,100,0,4.26,3.48,3.87,,,,G1T1701_BR_182_MP__G1T1701_BR_023_P
,,,,,,,,,,,,84,155,100,0,0,NA,NA,,,,G1T1701_BR_166_MP__G1T1701_BR_263_MP
201602,135,pond,201604_135_001_A11_G,2.81,201604BR142,0,201604BR049,0,B2_003,,B2_013,90,152,100,0,0,5.23,2.62,,,,G1T1701_BR_360_MP__G1T1701_BR_318_MP
,,,,,,,,,,,,82,147,100,0,8.37,4.07,6.22,,,,G1T1701_BR_139_MP__G1T1701_BR_042_P
201602,135,pond,201604_135_001_A5_G,0.00001,201604BR142,0,201604BR049,0,B2_003,,B2_014,66,142,100,0,4.78,3.47,4.13,,,,G1T1701_BR_053_GP__G1T1701_BR_006_P
,,,,,,,,,,,,61,134,100,0,5.16,3.65,4.4,,,,G1T1701_BR_048_P__G1T1701_BR_001_P
201602,135,pond,201604_135_001_B8_G,2.58,201604BR142,0,201604BR049,0,B2_003,,B2_015,69,132,100,0,5.32,3.3,4.31,,,,G1T1701_BR_067_GP__G1T1701_BR_037_P
,,,,,,,,,,,,64,123,100,0,0,3.37,1.68,,,,G1T1701_BR_049_GP__G1T1701_BR_003_P
201602,135,pond,201604_135_001_C7_G,0.00001,201604BR142,0,201604BR049,0,B2_003,,B2_016,62,96,100,0,5.16,3.35,4.26,,,,G1T1701_BR_048_P__G1T1701_BR_002_P
,,,,,,,,,,,,78,91,100,0,0,NA,NA,,,,G1T1701_BR_119_MP__G1T1701_BR_324_MP
201602,135,pond,201604_135_001_D11_G,4.31,201604BR142,0,201604BR049,0,B2_003,,B2_017,87,90,100,0,4.26,3.98,4.12,,,,G1T1701_BR_182_MP__G1T1701_BR_024_P
,,,,,,,,,,,,76,88,100,0,6.29,6.03,6.16,,,,G1T1701_BR_113_MP__G1T1701_BR_262_MP
201602,135,pond,201604_135_001_E8_G,3.83,201604BR142,0,201604BR049,0,B2_003,,B2_018,70,76,100,0,5.32,#N/A,NA,,,,G1T1701_BR_067_GP__G1T1701_BR_038_P
,,,,,,,,,,,,65,69,100,0,4.78,0,2.39,,,,G1T1701_BR_053_GP__G1T1701_BR_005_P
201604,135,pond,135_02_B6G,NA,201604BR170,3.94,201604BR021,3.01,B2_004,,B2_019,75,49,100,0,NA,3.35,NA,,,,G1T1701_BR_112_MP__G1T1701_BR_002_P
,,,,,,,,,,,,91,48,100,0,6.2,#N/A,NA,,,,G1T1701_BR_401_MP__G1T1701_BR_025_P
201604,135,pond,135_02_G1G,NA,201604BR170,3.94,201604BR021,3.01,B2_004,,B2_020,81,46,100,0,5.97,#N/A,NA,,,,G1T1701_BR_134_MP__G1T1701_BR_444_MP
,,,,,,,,,,,,71,31,100,0,6.61,0,3.31,,,,G1T1701_BR_068_P__G1T1701_BR_017_P
201604,135,pond,135_03_F12G,NA,201604BR170,3.94,201604BR021,3.01,B2_004,,B2_021,83,31,100,0,NA,NA,NA,,,,G1T1701_BR_159_MP__G1T1701_BR_444_MP
,,,,,,,,,,,,67,29,100,0,3.5,3.82,3.66,,,,G1T1701_BR_064_P__G1T1701_BR_031_P
201604,135,pond,135_05_D12G,NA,201604BR170,3.94,201604BR021,3.01,B2_004,,B3_001,77,29,100,0,0,4.95,2.47,,,,G1T1701_BR_119_MP__G1T1701_BR_015_P
,,,,,,,,,,,,68,27,100,0,3.5,3.75,3.62,,,,G1T1701_BR_064_P__G1T1701_BR_033_P
201604,135,pond,201604_135_001_F4_G,0.00001,201604BR170,3.94,201604BR021,3.01,B2_004,,B3_003,73,25,100,0,5.62,3.79,4.71,,,,G1T1701_BR_103_MP__G1T1701_BR_012_P
,,,,,,,,,,,,74,25,100,0,5.62,3.59,4.61,,,,G1T1701_BR_103_MP__G1T1701_BR_014_P
201604,135,pond,135_02_B1G,NA,201604BR189,3.85,201604BR085,3.97,B2_005,,B3_004,89,24,100,0,7.81,5.45,6.63,,,,G1T1701_BR_211_MP__G1T1701_BR_428_MP
,,,,,,,,,,,,79,20,100,0,0,6.43,3.21,,,,G1T1701_BR_123_MP__G1T1701_BR_251_MP
201604,135,pond,135_02_C12G,NA,201604BR189,3.85,201604BR085,3.97,B2_005,,B3_005,72,19,100,0,6.04,#N/A,NA,,,,G1T1701_BR_090_M__G1T1701_BR_022_P
,,,,,,,,,,,,93,19,100,0,4.3,0,2.15,,,,G1T1701_BR_461_P__G1T1701_BR_041_P
201604,135,pond,135_04_C3G,NA,201604BR189,3.85,201604BR085,3.97,B2_005,,B3_006,63,14,100,0,0,3.65,1.82,,,,G1T1701_BR_049_GP__G1T1701_BR_001_P
,,,,,,,,,,,,92,13,100,0,6.2,#N/A,NA,,,,G1T1701_BR_401_MP__G1T1701_BR_450_MP
201604,135,pond,135_04_D12G,NA,201604BR189,3.85,201604BR085,3.97,B2_005,,B3_007,88,11,100,0,7.81,6.17,6.99,,,,G1T1701_BR_211_MP__G1T1701_BR_372_MP
,,,,,,,,,,,,85,9,100,0,NA,0,NA,,,,G1T1701_BR_170_MP__G1T1701_BR_041_P
201604,135,pond,135_04_G4G,NA,201604BR189,3.85,201604BR085,3.97,B2_005,,B3_008,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_B2G,NA,201604BR189,3.85,201604BR085,3.97,B2_005,,B3_009,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_E11_G,3.59,201604BR189,3.85,201604BR085,3.97,B2_005,,B3_010,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_C2G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_C3G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_012,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_F11G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_013,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_G11G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_014,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_G5G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_015,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_H8G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_016,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_A2G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_017,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_B4G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_019,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_B6G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_020,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_F9G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_023,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_G7G,NA,201604BR223,NA,201604BR102,0,B2_007,,B3_029,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_A12G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_048_P__G1T1701_BR_001_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_C11G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_D10G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_049_GP__G1T1701_BR_001_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_D9G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_E11G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_E3G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_F2G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_064_P__G1T1701_BR_031_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_G6G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_064_P__G1T1701_BR_033_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_H10G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_067_GP__G1T1701_BR_037_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_B9G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_067_GP__G1T1701_BR_038_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_D1G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_068_P__G1T1701_BR_017_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_D7G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_090_M__G1T1701_BR_022_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_E8G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_103_MP__G1T1701_BR_012_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_F10G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_103_MP__G1T1701_BR_014_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_G7G,NA,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_112_MP__G1T1701_BR_002_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_A10_G,0.00001,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_A8_G,2.78,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_119_MP__G1T1701_BR_015_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_B4_G,6.65,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_119_MP__G1T1701_BR_324_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_D1_G,4.72,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_123_MP__G1T1701_BR_251_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_E10_G,3.21,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_E2_G,5.06,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_134_MP__G1T1701_BR_444_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_E3_G,3.58,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_F9_G,2.74,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_159_MP__G1T1701_BR_444_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_G1_G,3.59,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_H10_G,3.49,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_170_MP__G1T1701_BR_041_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_H11_G,3.57,201604BR223,NA,201604BR102,0,B2_007,,G1T1701_BR_182_MP__G1T1701_BR_023_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
