Pond,OffspringID,Offspring GAV,Candidate mother ID,Dam GAV copies/ug,Dam Family
149,G1T1701_149_001_C2_G,49839.5,G1T1701_BR_239_MP,1.09E+08,G1T1701_BR_239_MP
149,G1T1701_149_003_E5_G,140.33,G1T1701_BR_239_MP,1.09E+08,G1T1701_BR_360_MP
149,G1T1701_149_001_E5_G,47415.9,G1T1701_BR_360_MP,ND,G1T1701_BR_386_MP
149,G1T1701_149_001_E9_G,23379.55,G1T1701_BR_360_MP,ND,G1T1701_BR_098_MP
149,G1T1701_149_002_B6_G,338.78,G1T1701_BR_360_MP,ND,G1T1701_BR_113_MP
149,G1T1701_149_002_D10_G,297.48,G1T1701_BR_360_MP,ND,G1T1701_BR_130_M
149,G1T1701_149_005_E3_G,35.46,G1T1701_BR_360_MP,ND,G1T1701_BR_131_M
149,G1T1701_149_005_D9_G,3013.83,G1T1701_BR_386_MP,1.45E+04,G1T1701_BR_159_MP
149,G1T1701_149_003_D12_G,10584.94,G1T1701_BR_098_MP,6.34E+05,G1T1701_BR_171_M
149,G1T1701_149_001_D6_G,ND,G1T1701_BR_113_MP,1.96E+06,G1T1701_BR_211_MP
149,G1T1701_149_003_C4_G,ND,G1T1701_BR_113_MP,1.96E+06,G1T1701_BR_231_M
149,G1T1701_149_004_G7_G,ND,G1T1701_BR_113_MP,1.96E+06,G1T1701_BR_292_MP
149,G1T1701_149_001_A4_G,ND,G1T1701_BR_130_M,2.29E+04,G1T1701_BR_048_P
149,G1T1701_149_003_E1_G,ND,G1T1701_BR_130_M,2.29E+04,G1T1701_BR_049_GP
149,G1T1701_149_004_G9_G,ND,G1T1701_BR_130_M,2.29E+04,G1T1701_BR_052_P
149,G1T1701_149_001_B8_G,ND,G1T1701_BR_131_M,2.26E+04,G1T1701_BR_053_GP
149,G1T1701_149_001_G5_G,ND,G1T1701_BR_131_M,2.26E+04,G1T1701_BR_064_P
149,G1T1701_149_002_H3_G,ND,G1T1701_BR_131_M,2.26E+04,G1T1701_BR_067_GP
149,G1T1701_149_002_H4_G,878.181839,G1T1701_BR_131_M,2.26E+04,G1T1701_BR_068_P
149,G1T1701_149_003_A6_G,ND,G1T1701_BR_131_M,2.26E+04,G1T1701_BR_090_M
149,G1T1701_149_003_G6_G,ND,G1T1701_BR_131_M,2.26E+04,G1T1701_BR_103_MP
149,G1T1701_149_005_E5_G,3733.69,G1T1701_BR_131_M,2.26E+04,G1T1701_BR_112_MP
149,G1T1701_149_005_G5_G,ND,G1T1701_BR_131_M,2.26E+04,G1T1701_BR_119_MP
149,G1T1701_149_001_G8_G,ND,G1T1701_BR_159_MP,1.57E+07,G1T1701_BR_123_MP
149,G1T1701_149_001_E11_G,110057.61,G1T1701_BR_171_M,ND,G1T1701_BR_134_MP
149,G1T1701_149_003_B9_G,16.14,G1T1701_BR_171_M,ND,G1T1701_BR_139_MP
149,G1T1701_149_005_C11_G,219501.46,G1T1701_BR_171_M,ND,G1T1701_BR_166_MP
149,G1T1701_149_005_E10_G,37.63596936,G1T1701_BR_171_M,ND,G1T1701_BR_170_MP
149,G1T1701_149_005_B12_G,ND,G1T1701_BR_211_MP,6.44E+07,G1T1701_BR_182_MP
149,G1T1701_149_002_E1_G,40636.84,G1T1701_BR_211_MP,6.44E+07,G1T1701_BR_401_MP
149,G1T1701_149_004_F5_G,ND,G1T1701_BR_211_MP,6.44E+07,G1T1701_BR_461_P
149,G1T1701_149_001_E10_G,41.09,G1T1701_BR_231_M,ND,D_7
149,G1T1701_149_002_C10_G,ND,G1T1701_BR_231_M,ND,G1T1701_BR_222_M
149,G1T1701_149_002_D2_G,ND,G1T1701_BR_231_M,ND,D_13
149,G1T1701_149_003_B8_G,297.28,G1T1701_BR_231_M,ND,D_100
149,G1T1701_149_003_G2_G,ND,G1T1701_BR_231_M,ND,D_26
149,G1T1701_149_003_H4_G,ND,G1T1701_BR_231_M,ND,D_50
149,G1T1701_149_004_A10_G,ND,G1T1701_BR_231_M,ND,D_54
149,G1T1701_149_004_F7_G,ND,G1T1701_BR_231_M,ND,D_14
149,G1T1701_149_005_H5_G,41.96177006,G1T1701_BR_231_M,ND,D_117
149,G1T1701_149_001_B3_G,ND,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_004_F1_G,200550.39,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_004_F2_G,ND,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_003_H10_G,ND,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_004_B3_G,ND,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_004_C12_G,18111.7,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_005_A7_G,ND,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_005_A8_G,ND,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_005_B5_G,ND,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_002_F7_G,557.7058792,G1T1701_BR_239_MP,1.09E+08,
149,G1T1701_149_001_F4_G,26.4,G1T1701_BR_292_MP,1.72E+07,
149,G1T1701_149_001_E4_G,13.67,G1T1701_BR_360_MP,ND,
149,G1T1701_149_001_F10_G,25.52,G1T1701_BR_360_MP,ND,
149,G1T1701_149_003_B2_G,136245.7129,G1T1701_BR_360_MP,ND,
149,G1T1701_149_003_D7_G,ND,G1T1701_BR_360_MP,ND,
149,G1T1701_149_001_G6_G,13.56,G1T1701_BR_360_MP,ND,
149,G1T1701_149_004_A5_G,ND,G1T1701_BR_386_MP,1.45E+04,
149,G1T1701_149_001_C11_G,85.65,G1T1701_BR_048_P,1.45E+05,
149,G1T1701_149_001_G10_G,105.2,G1T1701_BR_048_P,1.45E+05,
149,G1T1701_149_001_G9_G,15029.28,G1T1701_BR_048_P,1.45E+05,
