Broodstock ID,ARC Hub Tube Label,ARC determined genotype,GAVcopies/ng,GAV copies/ug,lgGAV
1,G1T1701_BR005,G1T1701_BR_005_P,nd,nd,0
2,G1T1701_BR011,G1T1701_BR_011_P,nd,nd,0
3,G1T1701_BR013,G1T1701_BR_013_P,nd,nd,0
4,G1T1701_BR017,G1T1701_BR_017_P,nd,nd,0
5,G1T1701_BR042,G1T1701_BR_073_MP,nd,nd,0
6,G1T1701_BR056,G1T1701_BR_039_P,nd,nd,0
7,G1T1701_BR057,G1T1701_BR_040_MP,nd,nd,0
8,G1T1701_BR064,G1T1701_BR_041_P,nd,nd,0
9,G1T1701_BR093,G1T1701_BR_089_MP,nd,nd,0
10,G1T1701_BR113,G1T1701_BR_099_MP,nd,nd,0
11,G1T1701_BR116,G1T1701_BR_102_MP,nd,nd,0
12,G1T1701_BR120,G1T1701_BR_109_MP,nd,nd,0
13,G1T1701_BR125,G1T1701_BR_114_MP,nd,nd,0
14,G1T1701_BR127,not in dart analysis,nd,nd,0
15,G1T1701_BR136,G1T1701_BR_118_M,nd,nd,0
16,G1T1701_BR137,G1T1701_BR_119_MP,nd,nd,0
17,G1T1701_BR138,G1T1701_BR_120_MP,nd,nd,0
18,G1T1701_BR139,G1T1701_BR_121_MP,nd,nd,0
19,G1T1701_BR141,G1T1701_BR_123_MP,nd,nd,0
20,G1T1701_BR142,G1T1701_BR_124_M,nd,nd,0
21,G1T1701_BR143,G1T1701_BR_125_M,nd,nd,0
22,G1T1701_BR148,not in dart analysis,nd,nd,0
23,G1T1701_BR155,G1T1701_BR_136_M,nd,nd,0
24,G1T1701_BR156,G1T1701_BR_137_MP,nd,nd,0
25,G1T1701_BR157,G1T1701_BR_138_MP,nd,nd,0
26,G1T1701_BR163,G1T1701_BR_143_MP,nd,nd,0
27,G1T1701_BR168,G1T1701_BR_148_M,nd,nd,0
28,G1T1701_BR170,G1T1701_BR_150_MP,nd,nd,0
29,G1T1701_BR173,G1T1701_BR_153_MP,nd,nd,0
30,G1T1701_BR179,G1T1701_BR_162_MP,nd,nd,0
31,G1T1701_BR182,G1T1701_BR_165_M,nd,nd,0
32,G1T1701_BR183,G1T1701_BR_166_MP,nd,nd,0
33,G1T1701_BR187,G1T1701_BR_170_MP,nd,nd,0
34,G1T1701_BR188,G1T1701_BR_171_M,nd,nd,0
35,G1T1701_BR190,G1T1701_BR_173_M,nd,nd,0
36,G1T1701_BR191,G1T1701_BR_174_M,nd,nd,0
37,G1T1701_BR192,G1T1701_BR_175_GMP,nd,nd,0
38,G1T1701_BR194,G1T1701_BR_177_MP,nd,nd,0
39,G1T1701_BR196,G1T1701_BR_179_M,nd,nd,0
40,G1T1701_BR219,G1T1701_BR_202_M,nd,nd,0
41,G1T1701_BR225,G1T1701_BR_208_M,nd,nd,0
42,G1T1701_BR228,G1T1701_BR_211_MP,nd,nd,0
43,G1T1701_BR231,G1T1701_BR_214_MP,nd,nd,0
44,G1T1701_BR248,G1T1701_BR_231_M,nd,nd,0
45,G1T1701_BR258,G1T1701_BR_158_MP,nd,nd,0
46,G1T1701_BR261,G1T1701_BR_244_MP,nd,nd,0
47,G1T1701_BR263,G1T1701_BR_246_M,nd,nd,0
48,G1T1701_BR264,not in dart analysis,nd,nd,0
49,G1T1701_BR277,G1T1701_BR_260_MP,nd,nd,0
50,G1T1701_BR292,G1T1701_BR_275_MP,nd,nd,0
51,G1T1701_BR296,G1T1701_BR_279_MP,nd,nd,0
52,G1T1701_BR330,not in dart analysis,nd,nd,0
53,G1T1701_BR333,not in dart analysis,nd,nd,0
54,G1T1701_BR337,not in dart analysis,nd,nd,0
