Cohort,FamilyID,ID,class,logGAV
201602,B2_003,201604_135_001_A11_G,Offspring,2.81
201602,B2_003,201604_135_001_A5_G,Offspring,1.00E-05
201602,B2_003,201604_135_001_B8_G,Offspring,2.58
201602,B2_003,201604_135_001_C7_G,Offspring,1.00E-05
201602,B2_003,201604_135_001_D11_G,Offspring,4.31
201602,B2_003,201604_135_001_E8_G,Offspring,3.83
201602,B2_013,201604_135_001_B6_G,Offspring,3.72
201602,B2_013,201604_135_001_D5_G,Offspring,1.00E-05
201602,B2_013,201604_135_001_D6_G,Offspring,1.00E-05
201602,B2_013,201604_135_001_E12_G,Offspring,5.6
201602,B2_013,201604_135_001_F12_G,Offspring,6.4
201602,B2_013,201604_135_001_G10_G,Offspring,3.99
201602,B2_013,201604_135_001_H2_G,Offspring,1.00E-05
201602,B2_013,201604_135_001_H5_G,Offspring,1.00E-05
201602,B2_003,201604_136_001_C9_G,Offspring,3.64
201602,B2_003,201604_136_001_D1_G,Offspring,3.35
201602,B2_003,201604_136_001_D12_G,Offspring,1.00E-05
201602,B2_003,201604_136_001_D6_G,Offspring,3.81
201602,B2_003,201604_136_001_D9_G,Offspring,3.83
201602,B2_003,201604_136_001_E5_G,Offspring,5.17
201602,B2_003,201604_136_001_F10_G,Offspring,3.07
201602,B2_013,201604_136_001_A5_G,Offspring,1.00E-05
201602,B2_013,201604_136_001_B10_G,Offspring,1.00E-05
201602,B2_013,201604_136_001_B4_G,Offspring,3.65
201602,B2_013,201604_136_001_C11_G,Offspring,3.58
201602,B2_013,201604_136_001_D4_G,Offspring,3.19
201602,B2_013,201604_136_001_D5_G,Offspring,4
201602,B2_013,201604_136_001_D7_G,Offspring,4.16
201602,B2_013,201604_136_001_E1_G,Offspring,5.37
201602,B2_013,201604_136_001_H8_G,Offspring,3.48
201602,B3_011,201602_141_001_A2_G,Offspring,3.11
201602,B3_011,201602_141_001_A3_G,Offspring,1.00E-05
201602,B3_011,201602_141_001_C1_G,Offspring,1.00E-05
201602,B3_011,201602_141_001_C12_G,Offspring,3.15
201602,B3_011,201602_141_001_E6_G,Offspring,1.00E-05
201602,B3_011,201602_141_001_F11_G,Offspring,3.08
201602,B3_011,201602_141_001_G10_G,Offspring,1.00E-05
201602,B3_003,201602_142_005_B10_G,Offspring,1.00E-05
201602,B3_003,201602_142_005_H11_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_A12_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_A7_G,Offspring,4.12
201602,B3_011,201602_142_005_B12_G,Offspring,4.17
201602,B3_011,201602_142_005_B2_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_B3_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_B7_G,Offspring,3.91
201602,B3_011,201602_142_005_B8_G,Offspring,4.15
