"means","maxs","mins"
"B1_003",5.11,5.66,4.56
"B1_004",2.34500375,3.95,1e-05
"B1_005",NA,NA,NA
"B1_006",3.67,3.67,3.67
"B1_008",3.31889111111111,7.9,1e-05
"B1_010",3.88,3.88,3.88
"B1_011",4.65875,6.52,3.77
"B1_012",NA,NA,NA
"B1_015",2.61500333333333,5.12,1e-05
"B1_016",2.8525025,4.11,1e-05
"B1_019",4.31625,4.92,3.77
"B1_021",4.73666666666667,6.08,3.92
"B1_023",1.940005,3.88,1e-05
"B1_025",2.85000333333333,4.62,1e-05
"B1_026",4.75625,6.02,4.05
"B1_027",NA,NA,NA
"B1_030",NA,NA,NA
"B1_033",2.749378125,4.67,1e-05
"B1_034",5.46,7.02,3.9
"B1_036",6.066,7.21,4
"B1_037",2.53333666666667,3.98,1e-05
"B2_002",3.44333333333333,3.99,3.07
"B2_003",2.80000230769231,5.17,1e-05
"B2_004",1e-05,1e-05,1e-05
"B2_005",3.825,4.06,3.59
"B2_007",3.53217565217391,6.96,1e-05
"B2_008",NA,NA,NA
"B2_009",3.522002,7.28,1e-05
"B2_010",3.61476380952381,8.03,1e-05
"B2_011",2.84000333333333,4.35,1e-05
"B2_012",NA,NA,NA
"B2_013",2.77294470588235,6.4,1e-05
"B2_014",2.12846615384615,6.98,1e-05
"B2_015",3.19769538461538,7.43,1e-05
"B2_016",2.4975025,3.52,1e-05
"B2_017",4.31091090909091,7.21,1e-05
"B2_018",1e-05,1e-05,1e-05
"B2_019",3.26000333333333,6.3,1e-05
"B2_020",2.244004,4.3,1e-05
"B2_021",3.2000025,5.09,1e-05
"B3_001",0.860007272727273,3.17,1e-05
"B3_003",1e-05,1e-05,1e-05
"B3_004",1e-05,1e-05,1e-05
"B3_005",1e-05,1e-05,1e-05
"B3_006",NA,NA,NA
"B3_007",1.05000666666667,3.15,1e-05
"B3_008",1e-05,1e-05,1e-05
"B3_009",0.7900075,3.16,1e-05
"B3_010",NA,NA,NA
"B3_011",1.56161935483871,7.23,1e-05
"B3_012",0.748008,3.74,1e-05
"B3_013",0.780840833333333,3.14,1e-05
"B3_014",1.04667333333333,3.14,1e-05
"B3_015",1e-05,1e-05,1e-05
"B3_016",0.523085384615385,3.71,1e-05
"B3_017",1e-05,1e-05,1e-05
"B3_019",1e-05,1e-05,1e-05
"B3_020",1.151881875,5.3,1e-05
"B3_023",1e-05,1e-05,1e-05
"B3_029",1e-05,1e-05,1e-05
"G1T1701_BR_048_P__G1T1701_BR_001_P",2.28333361111111,6.69,0
"G1T1701_BR_048_P__G1T1701_BR_002_P",1.36000083333333,5.35,0
"G1T1701_BR_049_GP__G1T1701_BR_001_P",1.524,4.8,0
"G1T1701_BR_049_GP__G1T1701_BR_003_P",1.31914285714286,5.19,0
"G1T1701_BR_053_GP__G1T1701_BR_005_P",0.789048095238095,4.96,0
"G1T1701_BR_053_GP__G1T1701_BR_006_P",0.702857428571429,6.04,0
"G1T1701_BR_064_P__G1T1701_BR_031_P",0,0,0
"G1T1701_BR_064_P__G1T1701_BR_033_P",0.437142857142857,3.06,0
"G1T1701_BR_067_GP__G1T1701_BR_037_P",0.983823823529412,3.62,0
"G1T1701_BR_067_GP__G1T1701_BR_038_P",0.711666666666667,3.55,0
"G1T1701_BR_068_P__G1T1701_BR_017_P",2.77727272727273,5.65,0
"G1T1701_BR_090_M__G1T1701_BR_022_P",0.546666666666667,1.71,0
"G1T1701_BR_103_MP__G1T1701_BR_012_P",2.08875,5.49,0
"G1T1701_BR_103_MP__G1T1701_BR_014_P",1.58166666666667,3.77,0
"G1T1701_BR_112_MP__G1T1701_BR_002_P",1.96315842105263,10.48,0
"G1T1701_BR_113_MP__G1T1701_BR_262_MP",1.41600033333333,6,0
"G1T1701_BR_119_MP__G1T1701_BR_015_P",0.657500833333333,2.64,0
"G1T1701_BR_119_MP__G1T1701_BR_324_MP",2.0309375,5.63,0
"G1T1701_BR_123_MP__G1T1701_BR_251_MP",0.474288571428571,3.32,0
"G1T1701_BR_131_M__G1T1701_BR_262_MP",1.00107409395973,6.53,0
"G1T1701_BR_134_MP__G1T1701_BR_444_MP",1.03266666666667,3.14,0
"G1T1701_BR_139_MP__G1T1701_BR_042_P",1.43875025,5.63,0
"G1T1701_BR_159_MP__G1T1701_BR_444_MP",1.0891675,3.25,0
"G1T1701_BR_166_MP__G1T1701_BR_263_MP",1.06391391304348,5.87,0
"G1T1701_BR_170_MP__G1T1701_BR_041_P",1.55,1.55,1.55
"G1T1701_BR_182_MP__G1T1701_BR_023_P",0.6035940625,4.96,0
"G1T1701_BR_182_MP__G1T1701_BR_024_P",1.17643,5.75,0
"G1T1701_BR_211_MP__G1T1701_BR_372_MP",2.6525,6.27,0
"G1T1701_BR_211_MP__G1T1701_BR_428_MP",0.215,1.29,0
"G1T1701_BR_360_MP__G1T1701_BR_318_MP",1.74872404255319,6.18,0
"G1T1701_BR_401_MP__G1T1701_BR_025_P",1.302001,4.17,0
"G1T1701_BR_401_MP__G1T1701_BR_450_MP",0.6,1.2,0
"G1T1701_BR_461_P__G1T1701_BR_041_P",0.413333333333333,1.24,0
