Cohort,IntFamID,FamilyID,ID,class,LogGAV
201602,19,B2_003,201604_135_001_A11_G,Offspring,2.81
201602,19,B2_003,201604_135_001_A5_G,Offspring,1.00E-05
201602,19,B2_003,201604_135_001_B8_G,Offspring,2.58
201602,19,B2_003,201604_135_001_C7_G,Offspring,1.00E-05
201602,19,B2_003,201604_135_001_D11_G,Offspring,4.31
201602,19,B2_003,201604_135_001_E8_G,Offspring,3.83
201604,22,B2_007,201604_135_001_A10_G,Offspring,1.00E-05
201604,22,B2_007,201604_135_001_A8_G,Offspring,2.78
201604,22,B2_007,201604_135_001_B4_G,Offspring,6.65
201604,22,B2_007,201604_135_001_D1_G,Offspring,4.72
201604,22,B2_007,201604_135_001_E10_G,Offspring,3.21
201604,22,B2_007,201604_135_001_E2_G,Offspring,5.06
201604,22,B2_007,201604_135_001_E3_G,Offspring,3.58
201604,22,B2_007,201604_135_001_F9_G,Offspring,2.74
201604,22,B2_007,201604_135_001_G1_G,Offspring,3.59
201604,22,B2_007,201604_135_001_H10_G,Offspring,3.49
201604,22,B2_007,201604_135_001_H11_G,Offspring,3.57
201604,23,B2_009,201604_135_001_A7_G,Offspring,2.96
201604,23,B2_009,201604_135_001_C12_G,Offspring,3.91
201604,23,B2_009,201604_135_001_D4_G,Offspring,1.00E-05
201604,23,B2_009,201604_135_001_E1_G,Offspring,3.46
201604,24,B2_010,201604_135_001_A3_G,Offspring,4.61
201604,24,B2_010,201604_135_001_B7_G,Offspring,3.38
201604,24,B2_010,201604_135_001_C1_G,Offspring,5.23
201604,24,B2_010,201604_135_001_C9_G,Offspring,2.98
201604,24,B2_010,201604_135_001_D7_G,Offspring,1.00E-05
201604,24,B2_010,201604_135_001_D8_G,Offspring,6.38
201604,24,B2_010,201604_135_001_E5_G,Offspring,3.38
201604,24,B2_010,201604_135_001_E7_G,Offspring,3.82
201604,24,B2_010,201604_135_001_F1_G,Offspring,1.00E-05
201604,24,B2_010,201604_135_001_G4_G,Offspring,4.05
201604,24,B2_010,201604_135_001_G5_G,Offspring,1.00E-05
201604,24,B2_010,201604_135_001_H1_G,Offspring,4.6
201604,24,B2_010,201604_135_001_H9_G,Offspring,3.14
201602,26,B2_013,201604_135_001_B6_G,Offspring,3.72
201602,26,B2_013,201604_135_001_D5_G,Offspring,1.00E-05
201602,26,B2_013,201604_135_001_D6_G,Offspring,1.00E-05
201602,26,B2_013,201604_135_001_E12_G,Offspring,5.6
201602,26,B2_013,201604_135_001_F12_G,Offspring,6.4
201602,26,B2_013,201604_135_001_G10_G,Offspring,3.99
201602,26,B2_013,201604_135_001_H2_G,Offspring,1.00E-05
201602,26,B2_013,201604_135_001_H5_G,Offspring,1.00E-05
201701,27,B2_014,201604_135_001_A1_G,Offspring,3.66
201701,27,B2_014,201604_135_001_A2_G,Offspring,3.47
201701,27,B2_014,201604_135_001_B10_G,Offspring,1.00E-05
201701,27,B2_014,201604_135_001_B11_G,Offspring,3.48
201701,27,B2_014,201604_135_001_B5_G,Offspring,1.00E-05
201701,27,B2_014,201604_135_001_C10_G,Offspring,2.84
201701,27,B2_014,201604_135_001_C4_G,Offspring,1.00E-05
201701,27,B2_014,201604_135_001_E4_G,Offspring,1.00E-05
201701,27,B2_014,201604_135_001_E6_G,Offspring,5.87
201701,27,B2_014,201604_135_001_E9_G,Offspring,1.00E-05
201701,27,B2_014,201604_135_001_F3_G,Offspring,2.75
201701,27,B2_014,201604_135_001_G7_G,Offspring,4.85
201701,27,B2_014,201604_135_001_G9_G,Offspring,1.00E-05
201701,28,B2_015,201604_135_001_F11_G,Offspring,3.07
201701,28,B2_015,201604_135_001_F6_G,Offspring,3.93
201701,28,B2_015,201604_135_001_H4_G,Offspring,1.00E-05
201701,30,B2_017,201604_135_001_A4_G,Offspring,4.33
201701,30,B2_017,201604_135_001_B3_G,Offspring,1.00E-05
201701,30,B2_017,201604_135_001_C6_G,Offspring,3.8
201701,30,B2_017,201604_135_001_F2_G,Offspring,7.21
201701,30,B2_017,201604_135_001_F7_G,Offspring,6.23
201701,30,B2_017,201604_135_001_G2_G,Offspring,5.12
201701,33,B2_020,201604_135_001_B9_G,Offspring,3.26
201602,19,B2_003,201604_136_001_C9_G,Offspring,3.64
201602,19,B2_003,201604_136_001_D1_G,Offspring,3.35
201602,19,B2_003,201604_136_001_D12_G,Offspring,1.00E-05
201602,19,B2_003,201604_136_001_D6_G,Offspring,3.81
201602,19,B2_003,201604_136_001_D9_G,Offspring,3.83
201602,19,B2_003,201604_136_001_E5_G,Offspring,5.17
201602,19,B2_003,201604_136_001_F10_G,Offspring,3.07
201604,22,B2_007,201604_136_001_A1_G,Offspring,6.45
201604,22,B2_007,201604_136_001_A6_G,Offspring,5.95
201604,22,B2_007,201604_136_001_B2_G,Offspring,3.15
201604,22,B2_007,201604_136_001_B8_G,Offspring,6.96
201604,22,B2_007,201604_136_001_B9_G,Offspring,6.4
201604,22,B2_007,201604_136_001_E2_G,Offspring,1.00E-05
201604,22,B2_007,201604_136_001_F1_G,Offspring,1.00E-05
201604,22,B2_007,201604_136_001_F3_G,Offspring,3.25
201604,22,B2_007,201604_136_001_F7_G,Offspring,3.19
201604,22,B2_007,201604_136_001_G5_G,Offspring,3.39
201604,22,B2_007,201604_136_001_G6_G,Offspring,3.11
201604,22,B2_007,201604_136_001_H10_G,Offspring,1.00E-05
201604,23,B2_009,201604_136_001_B6_G,Offspring,7.28
201604,24,B2_010,201604_136_001_A8_G,Offspring,3.93
201604,24,B2_010,201604_136_001_B1_G,Offspring,4.25
201604,24,B2_010,201604_136_001_B7_G,Offspring,5.74
201604,24,B2_010,201604_136_001_C7_G,Offspring,3.74
201604,24,B2_010,201604_136_001_D2_G,Offspring,1.00E-05
201604,24,B2_010,201604_136_001_F5_G,Offspring,5
201604,24,B2_010,201604_136_001_G10_G,Offspring,8.03
201604,24,B2_010,201604_136_001_H4_G,Offspring,3.65
201602,26,B2_013,201604_136_001_A5_G,Offspring,1.00E-05
201602,26,B2_013,201604_136_001_B10_G,Offspring,1.00E-05
201602,26,B2_013,201604_136_001_B4_G,Offspring,3.65
201602,26,B2_013,201604_136_001_C11_G,Offspring,3.58
201602,26,B2_013,201604_136_001_D4_G,Offspring,3.19
201602,26,B2_013,201604_136_001_D5_G,Offspring,4
201602,26,B2_013,201604_136_001_D7_G,Offspring,4.16
201602,26,B2_013,201604_136_001_E1_G,Offspring,5.37
201602,26,B2_013,201604_136_001_H8_G,Offspring,3.48
201701,27,B2_014,201604_136_001_A2_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_B11_G,Offspring,4.18
201701,27,B2_014,201604_136_001_C10_G,Offspring,3.1
201701,27,B2_014,201604_136_001_D10_G,Offspring,3.58
201701,27,B2_014,201604_136_001_E3_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_E9_G,Offspring,4.19
201701,27,B2_014,201604_136_001_F11_G,Offspring,3.39
201701,27,B2_014,201604_136_001_G1_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_G2_G,Offspring,3
201701,27,B2_014,201604_136_001_G4_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_G7_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_G9_G,Offspring,6.98
